Census Tract,Label (Grouping),Total:,Total:!!Not Hispanic or Latino:,Total:!!Not Hispanic or Latino:!!White alone,Total:!!Not Hispanic or Latino:!!Black or African American alone,Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone,Total:!!Not Hispanic or Latino:!!Asian alone,Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,Total:!!Not Hispanic or Latino:!!Some other race alone,Total:!!Not Hispanic or Latino:!!Two or more races:,Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,"Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",Total:!!Hispanic or Latino:,Total:!!Hispanic or Latino:!!White alone,Total:!!Hispanic or Latino:!!Black or African American alone,Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone,Total:!!Hispanic or Latino:!!Asian alone,Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,Total:!!Hispanic or Latino:!!Some other race alone,Total:!!Hispanic or Latino:!!Two or more races:,Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race,"Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"Census Tract 10.02, Durham County, North Carolina",    Estimate,"5,216","3,225",634,"2,523",0,0,0,0,68,0,68,"1,991",550,0,0,0,0,"1,441",0,0,0
"Census Tract 10.02, Durham County, North Carolina",    Margin of Error,±734,±619,±446,±582,±98,±98,±98,±98,±63,±98,±63,±563,±343,±98,±98,±98,±98,±500,±98,±98,±98
,"Census Tract 11, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 11, Durham County, North Carolina",    Estimate,"2,185","1,948",207,"1,713",0,0,0,0,28,0,28,237,71,0,0,0,0,166,0,0,0
"Census Tract 11, Durham County, North Carolina",    Margin of Error,±317,±348,±119,±328,±98,±98,±98,±98,±39,±98,±39,±110,±75,±98,±98,±98,±98,±100,±98,±98,±98
,"Census Tract 13.01, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 13.01, Durham County, North Carolina",    Estimate,"1,058","1,037",16,935,0,0,0,0,86,0,86,21,0,0,0,0,0,0,21,0,21
"Census Tract 13.01, Durham County, North Carolina",    Margin of Error,±225,±224,±23,±224,±98,±98,±98,±98,±107,±98,±107,±35,±98,±98,±98,±98,±98,±98,±35,±98,±35
,"Census Tract 13.03, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 13.03, Durham County, North Carolina",    Estimate,"3,315","3,197",488,"2,542",0,119,0,10,38,7,31,118,39,10,0,0,0,61,8,0,8
"Census Tract 13.03, Durham County, North Carolina",    Margin of Error,±714,±712,±167,±736,±98,±61,±98,±22,±33,±14,±30,±80,±68,±18,±98,±98,±98,±49,±17,±98,±17
,"Census Tract 13.04, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 13.04, Durham County, North Carolina",    Estimate,"2,418","2,169",44,"2,117",0,7,0,0,1,0,1,249,67,0,0,0,0,182,0,0,0
"Census Tract 13.04, Durham County, North Carolina",    Margin of Error,±258,±270,±37,±268,±98,±13,±98,±98,±2,±98,±2,±160,±66,±98,±98,±98,±98,±159,±98,±98,±98
,"Census Tract 14, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 14, Durham County, North Carolina",    Estimate,"2,992","2,830",9,"2,800",0,0,0,0,21,0,21,162,0,69,0,0,0,93,0,0,0
"Census Tract 14, Durham County, North Carolina",    Margin of Error,±458,±440,±14,±444,±98,±98,±98,±98,±35,±98,±35,±181,±98,±111,±98,±98,±98,±147,±98,±98,±98
,"Census Tract 15.01, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 15.01, Durham County, North Carolina",    Estimate,"2,729","2,562","1,382",482,27,524,0,39,108,27,81,167,128,0,0,0,0,39,0,0,0
"Census Tract 15.01, Durham County, North Carolina",    Margin of Error,±349,±354,±271,±165,±39,±177,±98,±63,±85,±42,±73,±119,±111,±98,±98,±98,±98,±27,±98,±98,±98
,"Census Tract 15.02, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 15.02, Durham County, North Carolina",    Estimate,"5,918","3,941","1,124","1,926",4,775,0,27,85,0,85,"1,977",514,24,0,0,0,"1,387",52,12,40
"Census Tract 15.02, Durham County, North Carolina",    Margin of Error,±698,±577,±264,±465,±10,±246,±98,±40,±83,±98,±83,±588,±307,±41,±98,±98,±98,±610,±50,±19,±46
,"Census Tract 15.03, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 15.03, Durham County, North Carolina",    Estimate,"1,894","1,837",859,356,9,439,3,85,86,4,82,57,21,7,0,0,0,29,0,0,0
"Census Tract 15.03, Durham County, North Carolina",    Margin of Error,±437,±433,±349,±198,±15,±174,±6,±95,±98,±9,±98,±39,±24,±15,±98,±98,±98,±26,±98,±98,±98
,"Census Tract 16.01, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 16.01, Durham County, North Carolina",    Estimate,"6,068","5,864","3,696","1,861",5,247,0,26,29,0,29,204,102,0,0,0,0,85,17,0,17
"Census Tract 16.01, Durham County, North Carolina",    Margin of Error,±622,±638,±373,±625,±11,±172,±98,±42,±35,±98,±35,±138,±92,±98,±98,±98,±98,±112,±28,±98,±28
,"Census Tract 16.03, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 16.03, Durham County, North Carolina",    Estimate,"5,987","5,545","4,317",854,0,110,0,65,199,0,199,442,441,0,0,0,0,1,0,0,0
"Census Tract 16.03, Durham County, North Carolina",    Margin of Error,±382,±351,±372,±306,±98,±81,±98,±102,±169,±98,±169,±416,±416,±98,±98,±98,±98,±2,±98,±98,±98
,"Census Tract 16.04, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 16.04, Durham County, North Carolina",    Estimate,"6,704","6,607","5,046","1,172",67,218,0,13,91,0,91,97,26,0,0,17,0,54,0,0,0
"Census Tract 16.04, Durham County, North Carolina",    Margin of Error,±562,±519,±401,±519,±107,±130,±98,±20,±96,±98,±96,±79,±41,±98,±98,±29,±98,±64,±98,±98,±98
,"Census Tract 17.05, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 17.05, Durham County, North Carolina",    Estimate,"4,454","3,489","2,636",786,0,44,0,0,23,0,23,965,451,0,0,0,0,389,125,22,103
"Census Tract 17.05, Durham County, North Carolina",    Margin of Error,±339,±288,±342,±327,±98,±37,±98,±98,±28,±98,±28,±403,±334,±98,±98,±98,±98,±420,±177,±38,±177
,"Census Tract 17.06, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 17.06, Durham County, North Carolina",    Estimate,"4,130","3,943","2,355","1,126",0,358,0,0,104,0,104,187,157,21,0,0,0,9,0,0,0
"Census Tract 17.06, Durham County, North Carolina",    Margin of Error,±363,±337,±328,±414,±98,±173,±98,±98,±92,±98,±92,±174,±146,±31,±98,±98,±98,±16,±98,±98,±98
,"Census Tract 17.07, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 17.07, Durham County, North Carolina",    Estimate,"7,039","6,636","5,604",420,11,521,0,0,80,0,80,403,48,0,0,0,0,355,0,0,0
"Census Tract 17.07, Durham County, North Carolina",    Margin of Error,±693,±533,±443,±153,±23,±321,±98,±98,±72,±98,±72,±568,±76,±98,±98,±98,±98,±563,±98,±98,±98
,"Census Tract 17.08, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 17.08, Durham County, North Carolina",    Estimate,"4,271","4,155",302,"3,254",0,264,0,0,335,0,335,116,26,32,0,0,0,58,0,0,0
"Census Tract 17.08, Durham County, North Carolina",    Margin of Error,±508,±522,±118,±489,±98,±261,±98,±98,±284,±98,±284,±109,±42,±28,±98,±98,±98,±102,±98,±98,±98
,"Census Tract 17.09, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 17.09, Durham County, North Carolina",    Estimate,"6,040","5,481",695,"4,402",0,13,0,14,357,0,357,559,238,86,0,0,0,225,10,0,10
"Census Tract 17.09, Durham County, North Carolina",    Margin of Error,±601,±618,±264,±618,±98,±24,±98,±23,±326,±98,±326,±257,±158,±88,±98,±98,±98,±181,±17,±98,±17
,"Census Tract 17.10, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 17.10, Durham County, North Carolina",    Estimate,"4,035","3,340","1,451","1,695",0,55,0,10,129,0,129,695,156,0,36,0,0,503,0,0,0
