Census Tract,Label (Grouping),Total:,Total:!!Owner occupied:,Total:!!Owner occupied:!!Moved in 2005 or later,Total:!!Owner occupied:!!Moved in 2000 to 2004,Total:!!Owner occupied:!!Moved in 1990 to 1999,Total:!!Owner occupied:!!Moved in 1980 to 1989,Total:!!Owner occupied:!!Moved in 1970 to 1979,Total:!!Owner occupied:!!Moved in 1969 or earlier,Total:!!Renter occupied:,Total:!!Renter occupied:!!Moved in 2005 or later,Total:!!Renter occupied:!!Moved in 2000 to 2004,Total:!!Renter occupied:!!Moved in 1990 to 1999,Total:!!Renter occupied:!!Moved in 1980 to 1989,Total:!!Renter occupied:!!Moved in 1970 to 1979,Total:!!Renter occupied:!!Moved in 1969 or earlier
"Census Tract 13.04, Durham County, North Carolina",    Estimate,"1,031",323,17,64,55,28,41,118,708,461,82,111,18,27,9
"Census Tract 13.04, Durham County, North Carolina",    Margin of Error,±86,±63,±23,±40,±42,±34,±34,±33,±106,±92,±44,±59,±20,±24,±15
,"Census Tract 14, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 14, Durham County, North Carolina",    Estimate,"1,168",275,75,22,25,30,10,113,893,610,183,27,27,26,20
"Census Tract 14, Durham County, North Carolina",    Margin of Error,±127,±83,±58,±30,±36,±34,±18,±52,±141,±155,±87,±30,±23,±24,±24
,"Census Tract 15.01, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 15.01, Durham County, North Carolina",    Estimate,36,0,0,0,0,0,0,0,36,25,11,0,0,0,0
"Census Tract 15.01, Durham County, North Carolina",    Margin of Error,±35,±98,±98,±98,±98,±98,±98,±98,±35,±30,±18,±98,±98,±98,±98
,"Census Tract 15.02, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 15.02, Durham County, North Carolina",    Estimate,"2,432",67,50,0,0,17,0,0,"2,365","2,024",172,118,49,2,0
"Census Tract 15.02, Durham County, North Carolina",    Margin of Error,±248,±53,±51,±98,±98,±28,±98,±98,±250,±255,±114,±67,±40,±13,±98
,"Census Tract 15.03, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 15.03, Durham County, North Carolina",    Estimate,26,0,0,0,0,0,0,0,26,0,26,0,0,0,0
"Census Tract 15.03, Durham County, North Carolina",    Margin of Error,±42,±98,±98,±98,±98,±98,±98,±98,±42,±98,±42,±98,±98,±98,±98
,"Census Tract 16.01, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 16.01, Durham County, North Carolina",    Estimate,"2,175","1,973",559,506,483,158,147,120,202,161,27,0,14,0,0
"Census Tract 16.01, Durham County, North Carolina",    Margin of Error,±103,±130,±139,±133,±136,±67,±67,±54,±99,±95,±34,±98,±22,±98,±98
,"Census Tract 16.03, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 16.03, Durham County, North Carolina",    Estimate,"2,303","2,213",490,469,693,211,252,98,90,45,15,0,0,30,0
"Census Tract 16.03, Durham County, North Carolina",    Margin of Error,±111,±126,±120,±131,±142,±85,±88,±68,±50,±42,±23,±98,±98,±34,±98
,"Census Tract 16.04, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 16.04, Durham County, North Carolina",    Estimate,"2,503","2,386",562,709,470,303,283,59,117,70,0,33,14,0,0
"Census Tract 16.04, Durham County, North Carolina",    Margin of Error,±117,±121,±125,±133,±104,±94,±89,±50,±86,±68,±98,±33,±24,±98,±98
,"Census Tract 17.05, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 17.05, Durham County, North Carolina",    Estimate,"2,054","1,105",203,270,363,111,72,86,949,684,179,53,0,17,16
"Census Tract 17.05, Durham County, North Carolina",    Margin of Error,±141,±168,±108,±110,±119,±59,±52,±52,±196,±167,±122,±44,±98,±27,±25
,"Census Tract 17.06, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 17.06, Durham County, North Carolina",    Estimate,"1,974",907,343,267,229,55,0,13,"1,067",838,204,25,0,0,0
"Census Tract 17.06, Durham County, North Carolina",    Margin of Error,±162,±123,±117,±78,±96,±43,±98,±21,±186,±177,±122,±28,±98,±98,±98
,"Census Tract 17.07, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 17.07, Durham County, North Carolina",    Estimate,"2,928","2,280",649,446,546,314,134,191,648,386,121,141,0,0,0
"Census Tract 17.07, Durham County, North Carolina",    Margin of Error,±163,±155,±134,±125,±145,±91,±71,±72,±155,±132,±70,±66,±98,±98,±98
,"Census Tract 17.08, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 17.08, Durham County, North Carolina",    Estimate,"1,520",888,345,120,107,138,172,6,632,557,27,30,9,9,0
"Census Tract 17.08, Durham County, North Carolina",    Margin of Error,±133,±152,±127,±52,±71,±53,±61,±11,±141,±148,±21,±29,±14,±15,±98
,"Census Tract 17.09, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 17.09, Durham County, North Carolina",    Estimate,"2,324",526,102,117,170,44,73,20,"1,798","1,467",157,119,0,0,55
"Census Tract 17.09, Durham County, North Carolina",    Margin of Error,±142,±136,±74,±65,±91,±41,±53,±21,±185,±210,±79,±72,±98,±98,±67
,"Census Tract 17.10, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 17.10, Durham County, North Carolina",    Estimate,"1,795",961,324,177,300,66,24,70,834,649,138,47,0,0,0
"Census Tract 17.10, Durham County, North Carolina",    Margin of Error,±130,±177,±112,±83,±146,±40,±25,±38,±155,±130,±100,±45,±98,±98,±98
,"Census Tract 17.11, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 17.11, Durham County, North Carolina",    Estimate,"1,927",336,95,67,66,28,28,52,"1,591","1,314",247,17,13,0,0
"Census Tract 17.11, Durham County, North Carolina",    Margin of Error,±114,±86,±62,±43,±54,±28,±28,±37,±105,±135,±106,±21,±20,±98,±98
,"Census Tract 18.01, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 18.01, Durham County, North Carolina",    Estimate,"2,324","1,948",729,362,372,199,190,96,376,299,29,12,16,0,20
"Census Tract 18.01, Durham County, North Carolina",    Margin of Error,±173,±224,±213,±130,±135,±116,±92,±63,±146,±140,±33,±19,±26,±98,±31
,"Census Tract 18.02, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 18.02, Durham County, North Carolina",    Estimate,"2,461","1,505",243,344,337,357,111,113,956,684,223,49,0,0,0
"Census Tract 18.02, Durham County, North Carolina",    Margin of Error,±147,±166,±89,±125,±126,±110,±65,±55,±175,±164,±113,±45,±98,±98,±98
,"Census Tract 18.06, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 18.06, Durham County, North Carolina",    Estimate,"2,128","1,909",682,452,467,21,218,69,219,206,0,13,0,0,0
"Census Tract 18.06, Durham County, North Carolina",    Margin of Error,±116,±153,±189,±157,±134,±24,±99,±39,±132,±130,±98,±22,±98,±98,±98
,"Census Tract 18.07, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 18.07, Durham County, North Carolina",    Estimate,"3,482","2,788","1,199",768,570,204,47,0,694,660,26,8,0,0,0
"Census Tract 18.07, Durham County, North Carolina",    Margin of Error,±139,±191,±224,±191,±145,±100,±47,±98,±181,±184,±32,±13,±98,±98,±98
,"Census Tract 18.08, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 18.08, Durham County, North Carolina",    Estimate,"1,692","1,562",742,238,334,62,110,76,130,63,36,16,0,0,15
"Census Tract 18.08, Durham County, North Carolina",    Margin of Error,±161,±173,±166,±114,±123,±58,±59,±51,±81,±58,±48,±26,±98,±98,±22
,"Census Tract 18.09, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 18.09, Durham County, North Carolina",    Estimate,"2,601","1,181",332,357,169,157,108,58,"1,420","1,267",112,30,11,0,0
"Census Tract 18.09, Durham County, North Carolina",    Margin of Error,±154,±171,±132,±114,±84,±90,±80,±50,±188,±182,±107,±35,±17,±98,±98
,"Census Tract 19, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 19, Durham County, North Carolina",    Estimate,985,840,300,159,169,73,90,49,145,123,11,11,0,0,0
"Census Tract 19, Durham County, North Carolina",    Margin of Error,±110,±115,±80,±73,±71,±40,±38,±36,±79,±75,±18,±17,±98,±98,±98
,"Census Tract 20.07, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 20.07, Durham County, North Carolina",    Estimate,"2,199","1,755",619,269,463,183,138,83,444,312,95,37,0,0,0
"Census Tract 20.07, Durham County, North Carolina",    Margin of Error,±102,±139,±155,±110,±122,±85,±64,±49,±123,±120,±76,±35,±98,±98,±98
,"Census Tract 20.08, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 20.08, Durham County, North Carolina",    Estimate,"1,202","1,109",248,269,299,159,50,84,93,54,24,15,0,0,0
"Census Tract 20.08, Durham County, North Carolina",    Margin of Error,±59,±80,±74,±94,±72,±58,±41,±56,±56,±37,±35,±24,±98,±98,±98
,"Census Tract 20.09, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 20.09, Durham County, North Carolina",    Estimate,"1,792","1,139",91,187,224,144,341,152,653,463,175,15,0,0,0
"Census Tract 20.09, Durham County, North Carolina",    Margin of Error,±138,±149,±66,±98,±97,±57,±114,±74,±160,±141,±112,±22,±98,±98,±98
,"Census Tract 20.13, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 20.13, Durham County, North Carolina",    Estimate,"1,787","1,379",353,352,359,151,134,30,408,338,44,6,11,9,0
"Census Tract 20.13, Durham County, North Carolina",    Margin of Error,±110,±147,±110,±98,±91,±64,±52,±25,±142,±125,±56,±12,±16,±14,±98
,"Census Tract 20.15, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 20.15, Durham County, North Carolina",    Estimate,"2,342",477,153,89,177,14,29,15,"1,865","1,318",325,175,15,18,14
"Census Tract 20.15, Durham County, North Carolina",    Margin of Error,±167,±133,±65,±63,±106,±22,±32,±24,±205,±216,±163,±92,±24,±31,±23
,"Census Tract 20.16, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 20.16, Durham County, North Carolina",    Estimate,"2,470",274,58,56,100,49,11,0,"2,196","1,865",270,43,18,0,0
