Census Tract,Label (Grouping),Total:,Total:!!Owner occupied:,Total:!!Owner occupied:!!Moved in 2019 or later,Total:!!Owner occupied:!!Moved in 2015 to 2018,Total:!!Owner occupied:!!Moved in 2010 to 2014,Total:!!Owner occupied:!!Moved in 2000 to 2009,Total:!!Owner occupied:!!Moved in 1990 to 1999,Total:!!Owner occupied:!!Moved in 1989 or earlier,Total:!!Renter occupied:,Total:!!Renter occupied:!!Moved in 2019 or later,Total:!!Renter occupied:!!Moved in 2015 to 2018,Total:!!Renter occupied:!!Moved in 2010 to 2014,Total:!!Renter occupied:!!Moved in 2000 to 2009,Total:!!Renter occupied:!!Moved in 1990 to 1999,Total:!!Renter occupied:!!Moved in 1989 or earlier
,Census Tract 1.01; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 1.01; Durham County; North Carolina,        Estimate,"1,465","1,070",110,217,199,244,174,126,395,87,177,18,108,5,0
Census Tract 1.01; Durham County; North Carolina,        Margin of Error,±203,±210,±75,±86,±134,±106,±155,±68,±101,±71,±86,±24,±71,±8,±13
,Census Tract 1.02; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 1.02; Durham County; North Carolina,        Estimate,"1,596",670,36,163,55,177,155,84,926,61,613,144,92,16,0
Census Tract 1.02; Durham County; North Carolina,        Margin of Error,±147,±140,±53,±83,±34,±77,±93,±50,±138,±41,±146,±70,±61,±23,±13
,Census Tract 2; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 2; Durham County; North Carolina,        Estimate,"1,098",494,34,162,51,141,28,78,604,20,445,101,38,0,0
Census Tract 2; Durham County; North Carolina,        Margin of Error,±183,±140,±27,±112,±40,±58,±25,±54,±156,±23,±153,±80,±41,±13,±13
,Census Tract 3.01; Durham County; North Carolina,,,,,,,,,,,,,,,
Census Tract 3.01; Durham County; North Carolina,    Total population,,,,,,,,,,,,,,,
Census Tract 3.01; Durham County; North Carolina,        Estimate,"1,646",403,37,46,92,160,53,15,"1,243",269,674,183,11,19,87
,        Margin of Error,±335,±98,±37,±36,±62,±65,±46,±25,±336,±145,±312,±83,±13,±24,±62
,Census Tract 3.02; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 3.02; Durham County; North Carolina,        Estimate,"1,537",850,113,237,120,169,83,128,687,233,306,76,35,29,8
Census Tract 3.02; Durham County; North Carolina,        Margin of Error,±190,±164,±122,±78,±74,±55,±49,±82,±149,±147,±83,±43,±29,±35,±13
,Census Tract 4.01; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 4.01; Durham County; North Carolina,        Estimate,"1,118",880,36,197,187,158,103,199,238,43,102,51,27,15,0
Census Tract 4.01; Durham County; North Carolina,        Margin of Error,±137,±141,±31,±100,±75,±77,±55,±92,±81,±37,±57,±49,±30,±24,±13
,Census Tract 4.02; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 4.02; Durham County; North Carolina,        Estimate,"1,651",241,9,71,47,36,36,42,"1,410",381,940,27,45,17,0
Census Tract 4.02; Durham County; North Carolina,        Margin of Error,±187,±56,±16,±42,±36,±32,±39,±26,±184,±159,±170,±29,±37,±24,±13
,Census Tract 5; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 5; Durham County; North Carolina,        Estimate,"1,570",425,62,146,42,71,58,46,"1,145",261,501,254,66,16,47
Census Tract 5; Durham County; North Carolina,        Margin of Error,±202,±115,±64,±72,±27,±47,±44,±32,±192,±108,±125,±99,±70,±27,±40
,Census Tract 6; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 6; Durham County; North Carolina,        Estimate,"2,574","1,489",64,280,410,561,101,73,"1,085",290,673,79,43,0,0
Census Tract 6; Durham County; North Carolina,        Margin of Error,±430,±377,±56,±124,±196,±328,±76,±51,±373,±281,±243,±76,±49,±19,±19
,Census Tract 7; Durham County; North Carolina,,,,,,,,,,,,,,,
,    Total population,,,,,,,,,,,,,,,
Census Tract 7; Durham County; North Carolina,        Estimate,"1,985",815,74,155,187,136,156,107,"1,170",347,502,219,88,14,0
