"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-3.76401678417874,0.417490567702201,-9.01581275211859,1.95415999797364e-19
"Avg_Rmov",6.59769931695922,0.557878508942448,11.8264088169775,2.85079387018869e-32
"Change_PWnHL",-16.5806684834919,1.00255840452652,-16.5383566769086,1.942494470375e-61
"Change_MedHHI",6.30385033716216e-05,4.24716168670772e-06,14.8425014213403,7.77999285588148e-50
"AllConst_since11",-0.0151673738886014,0.00227680064495674,-6.66170484543658,2.70669196962927e-11
"PercResTree",-0.93910856825641,0.177827380092068,-5.28101222528384,1.28472116831225e-07
"AvgBA",2.59058601966189,0.574625401311545,4.50830404251021,6.5347885448055e-06
