"","mean.Estimate","mean.Std..Error","mean.z.value","mean.Pr...z..","precision.Estimate","precision.Std..Error","precision.z.value","precision.Pr...z.."
"(Intercept)",-2.1558060692694,0.373168353385981,-5.77703347486055,7.60291641020668e-09,11.4054603130493,0.719243760377987,15.8575728304621,1.24617729107743e-56
"AvgBA",-9.84468508335811,0.644729034556453,-15.2694923847052,1.22119984983977e-52,11.4054603130493,0.719243760377987,15.8575728304621,1.24617729107743e-56
"Avg_Rmov",1.45800261574677,0.477158225737623,3.05559568525283,0.00224613919631775,11.4054603130493,0.719243760377987,15.8575728304621,1.24617729107743e-56
"Change_PWnHL",7.63154708981342,0.919380377692984,8.30075045647959,1.03455792941031e-16,11.4054603130493,0.719243760377987,15.8575728304621,1.24617729107743e-56
"Change_MedHHI",-2.57449905790212e-05,3.37087478807421e-06,-7.6374805347574,2.2151351495452e-14,11.4054603130493,0.719243760377987,15.8575728304621,1.24617729107743e-56
"PercResTree",0.531294672533619,0.162435083288631,3.27081232562032,0.00107239052138496,11.4054603130493,0.719243760377987,15.8575728304621,1.24617729107743e-56
