"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.80557400145143,0.254310064756642,-7.09989202817922,1.24854393740933e-12
"AllConst_since11",0.0147640457983536,0.00167152878646197,8.83266020778726,1.02215169999897e-18
"Avg_Rmov",3.6289784349505,0.327562504377065,11.0787357724348,1.59103182260392e-28
"PercResTree",0.790335937280957,0.119634050548688,6.6062791793488,3.94099383806924e-11
"Change_PWnHL",-2.56075858013261,0.590359039521143,-4.3376291522693,1.44027902838161e-05
"Change_MedHHI",6.72354872780176e-06,2.05196672437052e-06,3.27663633525263,0.00105051581240031
