OBJECTID,date_bldg_,bldg_condi,date_bld_2,bldg_id,bldg_sq_fo,bldg_statu,date_condi,time_condi,f_add1,harris_str,label_hous,no_of_unit,orig_bldg_,pre_dir1,date_qc_da,time_qc_da,qc_source,qc_userid,st_name1,st_type1,stories,suf_dir1,t_add1,x_coord,y_coord,year_built,Name
2421,,ERIALS98,,0,0,0,,                389.7500000000000000000000000000079.025348926300000000000000000000,0,PAIR                                                                                                                                                                                                                                            1998040108:00:,00.000                                                                                                                                                                                                                                                  000000,0,0, ,,                                                                                                                                                                                      1832.0000000000000000000000000000ACTIVE, , ,                                                                                                                                                     2002110108:00:00.000, ,0,0,0,0,0,0,57
2422,,ERIALS98,,0,0,0,,                477.0000000000000000000000000000087.541225093900000000000000000000,0,                                                                                                                                                                                                                                                1998040108:00:,00.000                                                                                                                                                                                                                                                  000000,0,0, ,,                                                                                                                                                                                      1089.0000000000000000000000000000ACTIVE, , ,                                                                                                                                                     2003030108:00:00.000, ,0,0,0,0,0,0,49
2423,,ERIALS,,0,0,                2006032208:00:00.000,,                1283.7400000000000000000000000000164.25785758300000000000000000000CORTLAND,0,                                                                                                                                                                                                                                                2007040307:00:,00.000                                                                                                                                                                                                                                                  000000,0,0, ,,                                                                                                                                                                                      0.0000000000000000000000000000000ACTIVE, , ,                                                                                                                                                     2007040307:00:00.000,                                                                                                                                                             DT00211,0,0,0,0,0,0,324
2424,,ERIALS98,,0,0,0,,                444.0000000000000000000000000000085.000000000000000000000000000000,0,                                                                                                                                                                                                                                                1998040108:00:,00.000                                                                                                                                                                                                                                                  000000,0,0, ,,                                                                                                                                                                                      792.00000000000000000000000000000ACTIVE, , ,                                                                                                                                                     2002110108:00:00.000, ,0,0,0,0,0,0,324
2425,,ERIALS98                                                                                                                                                                                                                                                     0,1900-01-00 0:00:00,0,0,                2003061607:00:00.000,,                1170.3750000000000000000000000000159.06145568800000000000000000000MACKINAW,0,PAIR                                                                                                                                                                                                                                            1998040108:00:,00.000                                                                                                                                                                                                                                                  000000,0,0, ,,                                                                                                                                                                                      2684.0000000000000000000000000000ACTIVE, , ,                                                                                                                                                     2003030108:00:00.000, ,0,0,0,0,0,0,157
2427,,ERIALS98,,0,0,0,,                505.7500000000000000000000000000090.054160280600000000000000000000,0,                                                                                                                                                                                                                                                1998040108:00:,00.000                                                                                                                                                                                                                                                  000000,0,0, ,,                                                                                                                                                                                      0.0000000000000000000000000000000ACTIVE, , ,                                                                                                                                                     2003050107:00:00.000, ,0,0,0,0,0,0,324
2429,,ERIALS98,,0,0,0,,                462.2500000000000000000000000000086.011632622300000000000000000000,0,                                                                                                                                                                                                                                                1998040108:00:,00.000                                                                                                                                                                                                                                                  000000,0,0, ,,                                                                                                                                                                                      0.0000000000000000000000000000000ACTIVE, , ,0,,0,0,0,0,0,0,153
2430,,ERIALS98                                                                                                                                                                                                                                                     0,1900-01-00 0:00:00,0,0,                2003061607:00:00.000,,                1104.0000000000000000000000000000142.54448752500000000000000000000HERMITAGE,0,                                                                                                                                                                                                                                                1998040108:00:,00.000                                                                                                                                                                                                                                                  000000,0,0, ,,                                                                                                                                                                                      0.0000000000000000000000000000000ACTIVE, , ,0,,0,0,0,0,0,0,16
2431,,ERIALS98                                                                                                                                                                                                                                                     0,1900-01-00 0:00:00,0,0,                2003061607:00:00.000,,                997.12500000000000000000000000000130.06555243300000000000000000000HERMITAGE,0,                                                                                                                                                                                                                                                1998040108:00:,00.000                                                                                                                                                                                                                                                  000000,0,0, ,,                                                                                                                                                                                      4608.0000000000000000000000000000ACTIVE, , ,                                                                                                                                                     2002010108:00:00.000, ,0,0,0,0,0,0,157
2432,,ERIALS98                                                                                                                                                                                                                                                     0,1900-01-00 0:00:00,0,0,                2003061607:00:00.000,,                1337.5000000000000000000000000000160.67386835600000000000000000000MIAMI,0,                                                                                                                                                                                                                                                1998040108:00:,00.000                                                                                                                                                                                                                                                  000000,0,0, ,,                                                                                                                                                                                      1590.0000000000000000000000000000ACTIVE, , ,                                                                                                                                                     2003050107:00:00.000, ,0,0,0,0,0,0,128
2433,,ERIALS98                                                                                                                                                                                                                                                     0,1900-01-00 0:00:00,0,0,                2003061607:00:00.000,,                1056.2500000000000000000000000000136.01609717100000000000000000000OSCEOLA,0,                                                                                                                                                                                                                                                1998040108:00:,00.000                                                                                                                                                                                                                                                  000000,0,0, ,,                                                                                                                                                                                      1886.0000000000000000000000000000ACTIVE, , ,                                                                                                                                                     2003030108:00:00.000, ,0,0,0,0,0,0,244
2434,,ERIALS98                                                                                                                                                                                                                                                     0,1900-01-00 0:00:00,0,0,                2003061607:00:00.000,,                1537.8750000000000000000000000000167.67551427300000000000000000000MEADE,0,                                                                                                                                                                                                                                                1998040108:00:,00.000                                                                                                                                                                                                                                                  000000,0,0, ,,                                                                                                                                                                                      0.0000000000000000000000000000000ACTIVE, , ,0,,0,0,0,0,0,0,157
2435,,ERIALS98                                                                                                                                                                                                                                                     0,1900-01-00 0:00:00,0,0,0,,                1444.5000000000000000000000000000169.11055178600000000000000000000LOCKWOOD,0,                                                                                                                                                                                                                                                1998040108:00:,00.000                                                                                                                                                                                                                                                  000000,0,0, ,,                                                                                                                                                                                      1270.0000000000000000000000000000ACTIVE, , ,                                                                                                                                                     2002030108:00:00.000, ,0,0,0,0,0,0,16
2436,,ERIALS98                                                                                                                                                                                                                                                     0,1900-01-00 0:00:00,0,0,                2003061607:00:00.000,,                1440.2500000000000000000000000000167.78839978900000000000000000000CLAREMONT,0,                                                                                                                                                                                                                                                1998040108:00:,00.000                                                                                                                                                                                                                                                  000000,0,0, ,,                                                                                                                                                                                      0.0000000000000000000000000000000ACTIVE, , ,0,,0,0,0,0,0,0,260/275
2437,,ERIALS98                                                                                                                                                                                                                                                     0,1900-01-00 0:00:00,0,0,                2003061607:00:00.000,,                1164.3750000000000000000000000000162.00559294000000000000000000000ROSCOE,0,                                                                                                                                                                                                                                                1998040108:00:,00.000                                                                                                                                                                                                                                                  000000,0,0, ,,                                                                                                                                                                                      0.0000000000000000000000000000000ACTIVE, , ,0,,0,0,0,0,0,0,157
2438,,ERIALS98,,0,0,0,,                242.2500000000000000000000000000066.034077714900000000000000000000,0,                                                                                                                                                                                                                                                1998040108:00:,00.000                                                                                                                                                                                                                                                  000000,0,0, ,,                                                                                                                                                                                      1251.0000000000000000000000000000ACTIVE, , ,                                                                                                                                                     2002020108:00:00.000, ,0,0,0,0,0,0,260/275
2439,,ERIALS98,,0,0,0,,                384.7500000000000000000000000000078.543805738300000000000000000000,0,                                                                                                                                                                                                                                                1998040108:00:,00.000                                                                                                                                                                                                                                                  000000,0,0, ,,                                                                                                                                                                                      0.0000000000000000000000000000000ACTIVE, , ,0,,0,0,0,0,0,0,281
2442,,ERIALS98                                                                                                                                                                                                                                                     0,1900-01-00 0:00:00,0,0,                2003061607:00:00.000,,                1356.3750000000000000000000000000158.50960779500000000000000000000MENARD,0,                                                                                                                                                                                                                                                1998040108:00:,00.000                                                                                                                                                                                                                                                  000000,0,0, ,,                                                                                                                                                                                      0.0000000000000000000000000000000ACTIVE, , ,0,,0,0,0,0,0,0,324
2443,,ERIALS98,,0,0,0,,                477.2500000000000000000000000000087.505434140700000000000000000000,0,                                                                                                                                                                                                                                                1998040108:00:,00.000                                                                                                                                                                                                                                                  000000,0,0, ,,                                                                                                                                                                                      0.0000000000000000000000000000000ACTIVE, , ,0,,0,0,0,0,0,0,16
