GEO_ID,geoid10,NAME,Population Groups,Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars),Margin of Error!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)
1400000U,17031062400,Census Tract 624,Total population,141328,45328
1400000U,17031062500,Census Tract 625,Total population,157143,32787
1400000U,17031062600,Census Tract 626,Total population,187857,45254
1400000U,17031062700,Census Tract 627,Total population,139477,53397
1400000U,17031062800,Census Tract 628,Total population,154911,52277
1400000U,17031062900,Census Tract 629,Total population,146341,24249
1400000U,17031063000,Census Tract 630,Total population,99792,12776
1400000U,17031063100,Census Tract 631,Total population,96188,15660
1400000U,17031063200,Census Tract 632,Total population,68710,15292
1400000U,17031063301,Census Tract 633.01,Total population,63889,8434
1400000U,17031063302,Census Tract 633.02,Total population,84319,8850
1400000U,17031063303,Census Tract 633.03,Total population,93625,12118
1400000U,17031063400,Census Tract 634,Total population,113512,21027
1400000U,17031070101,Census Tract 701.01,Total population,81708,13596
1400000U,17031070102,Census Tract 701.02,Total population,87912,8739
1400000U,17031070103,Census Tract 701.03,Total population,72625,12954
1400000U,17031070200,Census Tract 702,Total population,103402,19215
1400000U,17031070300,Census Tract 703,Total population,177351,22904
1400000U,17031070400,Census Tract 704,Total population,210147,49882
1400000U,17031070500,Census Tract 705,Total population,144389,34236
1400000U,17031070600,Census Tract 706,Total population,"250,000+",***
1400000U,17031070700,Census Tract 707,Total population,150903,33427
1400000U,17031071000,Census Tract 710,Total population,203491,41790
1400000U,17031071100,Census Tract 711,Total population,190380,46470
1400000U,17031071200,Census Tract 712,Total population,132000,34339
1400000U,17031071300,Census Tract 713,Total population,101848,33666
1400000U,17031071400,Census Tract 714,Total population,109174,24928
1400000U,17031071500,Census Tract 715,Total population,101594,13553
1400000U,17031071600,Census Tract 716,Total population,166875,34936
1400000U,17031071700,Census Tract 717,Total population,146875,97755
1400000U,17031071800,Census Tract 718,Total population,192102,42311
1400000U,17031080100,Census Tract 801,Total population,114375,23598
1400000U,17031080201,Census Tract 802.01,Total population,120203,28672
1400000U,17031080202,Census Tract 802.02,Total population,98897,12964
1400000U,17031080300,Census Tract 803,Total population,145759,19635
1400000U,17031080400,Census Tract 804,Total population,-,**
1400000U,17031081000,Census Tract 810,Total population,76369,11200
1400000U,17031081100,Census Tract 811,Total population,83763,3737
1400000U,17031081201,Census Tract 812.01,Total population,122212,22776
1400000U,17031081202,Census Tract 812.02,Total population,174151,76312
1400000U,17031081300,Census Tract 813,Total population,107841,26820
1400000U,17031081401,Census Tract 814.01,Total population,75278,17960
1400000U,17031081402,Census Tract 814.02,Total population,126910,35597
1400000U,17031081403,Census Tract 814.03,Total population,104447,14102
1400000U,17031081500,Census Tract 815,Total population,131579,36256
1400000U,17031081600,Census Tract 816,Total population,126705,28894
1400000U,17031081700,Census Tract 817,Total population,116719,18142
1400000U,17031081800,Census Tract 818,Total population,159515,16885
1400000U,17031081900,Census Tract 819,Total population,175833,48809
