GEO_ID,geoid10,NAME,Population Groups,Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars),Margin of Error!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)
1400000U,17031440700,Census Tract 4407,Total population,72143,17066
1400000U,17031440800,Census Tract 4408,Total population,34095,11883
1400000U,17031440900,Census Tract 4409,Total population,52778,42888
1400000U,17031450300,Census Tract 4503,Total population,46475,18327
1400000U,17031460100,Census Tract 4601,Total population,44606,2711
1400000U,17031460200,Census Tract 4602,Total population,25855,4402
1400000U,17031460301,Census Tract 4603.01,Total population,34643,13600
1400000U,17031460302,Census Tract 4603.02,Total population,34740,11931
1400000U,17031460400,Census Tract 4604,Total population,59688,27070
1400000U,17031460500,Census Tract 4605,Total population,56530,28284
1400000U,17031460800,Census Tract 4608,Total population,32003,4974
1400000U,17031461000,Census Tract 4610,Total population,14243,2805
1400000U,17031470100,Census Tract 4701,Total population,45294,15938
1400000U,17031480100,Census Tract 4801,Total population,62583,20136
1400000U,17031480200,Census Tract 4802,Total population,62537,17103
1400000U,17031480300,Census Tract 4803,Total population,49970,10357
1400000U,17031480400,Census Tract 4804,Total population,85707,20280
1400000U,17031480500,Census Tract 4805,Total population,48875,38426
1400000U,17031490200,Census Tract 4902,Total population,59847,5546
1400000U,17031490500,Census Tract 4905,Total population,65179,13532
1400000U,17031490600,Census Tract 4906,Total population,47474,20653
1400000U,17031490700,Census Tract 4907,Total population,45000,13339
1400000U,17031490800,Census Tract 4908,Total population,48081,9319
1400000U,17031490901,Census Tract 4909.01,Total population,33661,5941
1400000U,17031490902,Census Tract 4909.02,Total population,56538,10487
1400000U,17031491000,Census Tract 4910,Total population,21940,5195
1400000U,17031491100,Census Tract 4911,Total population,67891,17369
1400000U,17031491200,Census Tract 4912,Total population,46667,23898
1400000U,17031491300,Census Tract 4913,Total population,36311,17276
1400000U,17031491400,Census Tract 4914,Total population,35437,3848
1400000U,17031500100,Census Tract 5001,Total population,69803,16063
1400000U,17031500200,Census Tract 5002,Total population,32888,12459
1400000U,17031500300,Census Tract 5003,Total population,46685,8314
1400000U,17031510100,Census Tract 5101,Total population,53839,17844
1400000U,17031510200,Census Tract 5102,Total population,46645,24338
1400000U,17031510300,Census Tract 5103,Total population,25805,5166
1400000U,17031520100,Census Tract 5201,Total population,61875,19428
1400000U,17031520200,Census Tract 5202,Total population,53432,21033
1400000U,17031520300,Census Tract 5203,Total population,46471,4998
1400000U,17031520400,Census Tract 5204,Total population,44206,4827
1400000U,17031520500,Census Tract 5205,Total population,73333,20771
1400000U,17031520600,Census Tract 5206,Total population,81742,30353
1400000U,17031530100,Census Tract 5301,Total population,34091,13261
1400000U,17031530200,Census Tract 5302,Total population,39801,11348
1400000U,17031530300,Census Tract 5303,Total population,52485,6072
1400000U,17031530400,Census Tract 5304,Total population,65729,23244
1400000U,17031530501,Census Tract 5305.01,Total population,48426,16513
1400000U,17031530502,Census Tract 5305.02,Total population,66111,17726
1400000U,17031530503,Census Tract 5305.03,Total population,52045,18223
1400000U,17031530600,Census Tract 5306,Total population,37321,28296
1400000U,17031540101,Census Tract 5401.01,Total population,14424,6751
1400000U,17031540102,Census Tract 5401.02,Total population,26518,10976
1400000U,17031550100,Census Tract 5501,Total population,57780,31464
1400000U,17031550200,Census Tract 5502,Total population,62905,12323
1400000U,17031560100,Census Tract 5601,Total population,34688,26409
1400000U,17031560200,Census Tract 5602,Total population,48906,19627
1400000U,17031560300,Census Tract 5603,Total population,56806,18823
1400000U,17031560400,Census Tract 5604,Total population,68750,15998
1400000U,17031560700,Census Tract 5607,Total population,70076,10827
1400000U,17031560800,Census Tract 5608,Total population,95077,14965
1400000U,17031560900,Census Tract 5609,Total population,103375,21798
1400000U,17031561000,Census Tract 5610,Total population,100531,25544
1400000U,17031561100,Census Tract 5611,Total population,97106,18078
1400000U,17031570100,Census Tract 5701,Total population,56471,21221
1400000U,17031570200,Census Tract 5702,Total population,-,**
1400000U,17031570300,Census Tract 5703,Total population,46997,10921
1400000U,17031570400,Census Tract 5704,Total population,64035,10654
1400000U,17031570500,Census Tract 5705,Total population,52222,28447
1400000U,17031580100,Census Tract 5801,Total population,47500,12882
1400000U,17031580200,Census Tract 5802,Total population,45577,14342
1400000U,17031580300,Census Tract 5803,Total population,65742,16567
1400000U,17031580400,Census Tract 5804,Total population,51043,3932
1400000U,17031580501,Census Tract 5805.01,Total population,43819,8460
1400000U,17031580502,Census Tract 5805.02,Total population,41303,12372
1400000U,17031580600,Census Tract 5806,Total population,45975,11120
1400000U,17031580700,Census Tract 5807,Total population,54233,10565
1400000U,17031580800,Census Tract 5808,Total population,52324,8343
1400000U,17031590500,Census Tract 5905,Total population,71641,18716
1400000U,17031590600,Census Tract 5906,Total population,59714,16345
1400000U,17031590700,Census Tract 5907,Total population,70313,29077
1400000U,17031600400,Census Tract 6004,Total population,57637,9178
1400000U,17031600600,Census Tract 6006,Total population,51250,26958
1400000U,17031600700,Census Tract 6007,Total population,60010,22246
1400000U,17031600900,Census Tract 6009,Total population,65617,6017
1400000U,17031610300,Census Tract 6103,Total population,36002,8248
1400000U,17031610400,Census Tract 6104,Total population,44632,9645
1400000U,17031610800,Census Tract 6108,Total population,81064,8363
1400000U,17031611200,Census Tract 6112,Total population,29470,6216
1400000U,17031611300,Census Tract 6113,Total population,40203,14130
1400000U,17031611400,Census Tract 6114,Total population,26583,10981
1400000U,17031611500,Census Tract 6115,Total population,38956,3425
1400000U,17031611600,Census Tract 6116,Total population,20778,8687
1400000U,17031611700,Census Tract 6117,Total population,18000,17363
1400000U,17031611800,Census Tract 6118,Total population,47181,8445
1400000U,17031611900,Census Tract 6119,Total population,31875,15089
1400000U,17031612000,Census Tract 6120,Total population,42292,18371
1400000U,17031612100,Census Tract 6121,Total population,22159,14879
1400000U,17031612200,Census Tract 6122,Total population,36518,12721
1400000U,17031620100,Census Tract 6201,Total population,66447,13600
1400000U,17031620200,Census Tract 6202,Total population,51856,11364
1400000U,17031620300,Census Tract 6203,Total population,58017,19774
1400000U,17031620400,Census Tract 6204,Total population,49185,14800
1400000U,17031630300,Census Tract 6303,Total population,53924,19088
1400000U,17031630400,Census Tract 6304,Total population,33659,7098
1400000U,17031630500,Census Tract 6305,Total population,45167,5907
1400000U,17031630600,Census Tract 6306,Total population,47045,10089
1400000U,17031630800,Census Tract 6308,Total population,57538,6151
1400000U,17031630900,Census Tract 6309,Total population,36154,8593
1400000U,17031640100,Census Tract 6401,Total population,40307,10484
1400000U,17031640300,Census Tract 6403,Total population,64653,13956
1400000U,17031640400,Census Tract 6404,Total population,72839,12908
1400000U,17031640500,Census Tract 6405,Total population,71719,33595
1400000U,17031640600,Census Tract 6406,Total population,65714,14700
1400000U,17031640700,Census Tract 6407,Total population,65529,10215
1400000U,17031640800,Census Tract 6408,Total population,36875,13680
1400000U,17031650100,Census Tract 6501,Total population,53697,15248
1400000U,17031650200,Census Tract 6502,Total population,79957,14054
1400000U,17031650301,Census Tract 6503.01,Total population,63219,8826
1400000U,17031650302,Census Tract 6503.02,Total population,48750,11797
1400000U,17031650400,Census Tract 6504,Total population,61125,7410
1400000U,17031650500,Census Tract 6505,Total population,75275,15797
1400000U,17031660301,Census Tract 6603.01,Total population,22443,3551
1400000U,17031660302,Census Tract 6603.02,Total population,42542,8465
1400000U,17031660400,Census Tract 6604,Total population,45071,13055
1400000U,17031660500,Census Tract 6605,Total population,35242,11627
1400000U,17031660600,Census Tract 6606,Total population,29703,8659
1400000U,17031660700,Census Tract 6607,Total population,27073,11060
1400000U,17031660800,Census Tract 6608,Total population,38973,14630
1400000U,17031660900,Census Tract 6609,Total population,40459,6298
1400000U,17031661000,Census Tract 6610,Total population,41538,8961
1400000U,17031661100,Census Tract 6611,Total population,66786,15768
1400000U,17031670100,Census Tract 6701,Total population,26800,9622
1400000U,17031670300,Census Tract 6703,Total population,25789,11202
1400000U,17031670400,Census Tract 6704,Total population,27139,11524
1400000U,17031670500,Census Tract 6705,Total population,26538,6085
1400000U,17031670600,Census Tract 6706,Total population,22083,9388
1400000U,17031670700,Census Tract 6707,Total population,27413,13580
1400000U,17031670800,Census Tract 6708,Total population,25750,7610
1400000U,17031670900,Census Tract 6709,Total population,27465,11956
1400000U,17031671100,Census Tract 6711,Total population,13060,6330
1400000U,17031671200,Census Tract 6712,Total population,39231,19435
1400000U,17031671300,Census Tract 6713,Total population,27316,11167
1400000U,17031671400,Census Tract 6714,Total population,25981,1205
1400000U,17031671500,Census Tract 6715,Total population,34460,8535
1400000U,17031671600,Census Tract 6716,Total population,17831,4119
1400000U,17031671800,Census Tract 6718,Total population,31061,8969
1400000U,17031671900,Census Tract 6719,Total population,59663,23043
1400000U,17031672000,Census Tract 6720,Total population,39595,23632
1400000U,17031680500,Census Tract 6805,Total population,28438,18096
1400000U,17031680600,Census Tract 6806,Total population,43929,23572
1400000U,17031680900,Census Tract 6809,Total population,20370,7139
1400000U,17031681000,Census Tract 6810,Total population,19919,10004
1400000U,17031681100,Census Tract 6811,Total population,29031,6319
1400000U,17031681200,Census Tract 6812,Total population,16538,6361
1400000U,17031681300,Census Tract 6813,Total population,16209,3497
1400000U,17031681400,Census Tract 6814,Total population,49119,13394
1400000U,17031690300,Census Tract 6903,Total population,-,**
1400000U,17031690400,Census Tract 6904,Total population,23389,5013
1400000U,17031690500,Census Tract 6905,Total population,40179,16019
1400000U,17031690900,Census Tract 6909,Total population,35960,18380
1400000U,17031691000,Census Tract 6910,Total population,46683,19891
1400000U,17031691100,Census Tract 6911,Total population,31402,15801
1400000U,17031691200,Census Tract 6912,Total population,33656,13434
1400000U,17031691300,Census Tract 6913,Total population,38472,27538
1400000U,17031691400,Census Tract 6914,Total population,42841,25078
1400000U,17031691500,Census Tract 6915,Total population,20109,1891
1400000U,17031700100,Census Tract 7001,Total population,71397,25667
1400000U,17031700200,Census Tract 7002,Total population,78581,21054
1400000U,17031700301,Census Tract 7003.01,Total population,69909,12044
1400000U,17031700302,Census Tract 7003.02,Total population,77885,12010
1400000U,17031700401,Census Tract 7004.01,Total population,69255,26687
1400000U,17031700402,Census Tract 7004.02,Total population,71506,10383
1400000U,17031700501,Census Tract 7005.01,Total population,64250,3074
1400000U,17031700502,Census Tract 7005.02,Total population,83419,10059
1400000U,17031710100,Census Tract 7101,Total population,20797,6604
1400000U,17031710200,Census Tract 7102,Total population,27016,6937
1400000U,17031710300,Census Tract 7103,Total population,50284,11225
1400000U,17031710400,Census Tract 7104,Total population,36827,12523
1400000U,17031710500,Census Tract 7105,Total population,34555,7962
1400000U,17031710600,Census Tract 7106,Total population,37926,16292
1400000U,17031710700,Census Tract 7107,Total population,34097,10155
1400000U,17031710800,Census Tract 7108,Total population,25147,9937
1400000U,17031710900,Census Tract 7109,Total population,38462,6873
1400000U,17031711000,Census Tract 7110,Total population,52938,8492
1400000U,17031711100,Census Tract 7111,Total population,47198,20044
1400000U,17031711200,Census Tract 7112,Total population,55385,15917
1400000U,17031711300,Census Tract 7113,Total population,56444,13614
1400000U,17031711400,Census Tract 7114,Total population,43111,5217
1400000U,17031711500,Census Tract 7115,Total population,49639,9343
1400000U,17031720100,Census Tract 7201,Total population,149194,12640
1400000U,17031720200,Census Tract 7202,Total population,95789,24119
1400000U,17031720300,Census Tract 7203,Total population,124836,21449
1400000U,17031720400,Census Tract 7204,Total population,106146,15049
1400000U,17031720500,Census Tract 7205,Total population,107727,23684
1400000U,17031720600,Census Tract 7206,Total population,123438,21626
1400000U,17031720700,Census Tract 7207,Total population,90625,31111
1400000U,17031730100,Census Tract 7301,Total population,48625,30866
1400000U,17031730201,Census Tract 7302.01,Total population,45481,18546
1400000U,17031730202,Census Tract 7302.02,Total population,68164,26630
1400000U,17031730300,Census Tract 7303,Total population,41571,4927
1400000U,17031730400,Census Tract 7304,Total population,82838,19968
1400000U,17031730500,Census Tract 7305,Total population,58254,6753
1400000U,17031730600,Census Tract 7306,Total population,58576,7869
1400000U,17031730700,Census Tract 7307,Total population,52652,20531
1400000U,17031740100,Census Tract 7401,Total population,95701,14155
1400000U,17031740200,Census Tract 7402,Total population,109365,8129
1400000U,17031740300,Census Tract 7403,Total population,125380,28953
1400000U,17031740400,Census Tract 7404,Total population,97750,23318
1400000U,17031750100,Census Tract 7501,Total population,50625,26157
1400000U,17031750200,Census Tract 7502,Total population,71228,20921
1400000U,17031750300,Census Tract 7503,Total population,100938,22360
1400000U,17031750400,Census Tract 7504,Total population,103785,13141
1400000U,17031750500,Census Tract 7505,Total population,54058,15887
1400000U,17031750600,Census Tract 7506,Total population,52833,14023
1400000U,17031760801,Census Tract 7608.01,Total population,71215,11593
1400000U,17031760802,Census Tract 7608.02,Total population,66193,28297
1400000U,17031760803,Census Tract 7608.03,Total population,52110,11364
1400000U,17031770201,Census Tract 7702.01,Total population,80853,5835
1400000U,17031770202,Census Tract 7702.02,Total population,77235,15929
1400000U,17031770300,Census Tract 7703,Total population,83885,16905
1400000U,17031770400,Census Tract 7704,Total population,88029,15043
1400000U,17031770500,Census Tract 7705,Total population,49349,7529
1400000U,17031770601,Census Tract 7706.01,Total population,96125,46388
1400000U,17031770602,Census Tract 7706.02,Total population,78800,15495
1400000U,17031770700,Census Tract 7707,Total population,60547,12798
1400000U,17031770800,Census Tract 7708,Total population,67722,20625
1400000U,17031770901,Census Tract 7709.01,Total population,94188,21094
1400000U,17031770902,Census Tract 7709.02,Total population,78809,11446
1400000U,17031800100,Census Tract 8001,Total population,238542,68507
1400000U,17031800200,Census Tract 8002,Total population,208365,85038
1400000U,17031800300,Census Tract 8003,Total population,224808,44112
1400000U,17031800400,Census Tract 8004,Total population,"250,000+",***
1400000U,17031800500,Census Tract 8005,Total population,"250,000+",***
1400000U,17031800600,Census Tract 8006,Total population,"250,000+",***
1400000U,17031800700,Census Tract 8007,Total population,230972,39801
1400000U,17031800800,Census Tract 8008,Total population,105417,32581
1400000U,17031800900,Census Tract 8009,Total population,117208,17491
1400000U,17031801000,Census Tract 8010,Total population,138897,31456
1400000U,17031801100,Census Tract 8011,Total population,215694,24480
1400000U,17031801200,Census Tract 8012,Total population,236250,39834
1400000U,17031801300,Census Tract 8013,Total population,131848,51764
1400000U,17031801400,Census Tract 8014,Total population,151661,7120
1400000U,17031801500,Census Tract 8015,Total population,124488,16041
1400000U,17031801601,Census Tract 8016.01,Total population,86250,12577
1400000U,17031801603,Census Tract 8016.03,Total population,65417,18148
1400000U,17031801605,Census Tract 8016.05,Total population,167045,28380
1400000U,17031801606,Census Tract 8016.06,Total population,148133,29670
1400000U,17031801607,Census Tract 8016.07,Total population,129750,21144
1400000U,17031801608,Census Tract 8016.08,Total population,124855,23578
1400000U,17031801701,Census Tract 8017.01,Total population,205324,14290
1400000U,17031801702,Census Tract 8017.02,Total population,171694,37177
1400000U,17031801800,Census Tract 8018,Total population,162468,69546
1400000U,17031801901,Census Tract 8019.01,Total population,94938,9768
1400000U,17031801902,Census Tract 8019.02,Total population,173844,30425
1400000U,17031802002,Census Tract 8020.02,Total population,136058,32482
1400000U,17031802003,Census Tract 8020.03,Total population,129250,13734
1400000U,17031802004,Census Tract 8020.04,Total population,36639,6754
1400000U,17031802100,Census Tract 8021,Total population,129423,33533
1400000U,17031802200,Census Tract 8022,Total population,146818,20927
1400000U,17031802300,Census Tract 8023,Total population,108246,25232
1400000U,17031802402,Census Tract 8024.02,Total population,72353,18341
1400000U,17031802403,Census Tract 8024.03,Total population,69737,4642
1400000U,17031802404,Census Tract 8024.04,Total population,59919,13550
1400000U,17031802503,Census Tract 8025.03,Total population,97050,23271
1400000U,17031802504,Census Tract 8025.04,Total population,82800,9757
1400000U,17031802505,Census Tract 8025.05,Total population,65570,9107
1400000U,17031802506,Census Tract 8025.06,Total population,85905,7510
1400000U,17031802605,Census Tract 8026.05,Total population,104762,16287
1400000U,17031802607,Census Tract 8026.07,Total population,122500,25631
1400000U,17031802608,Census Tract 8026.08,Total population,79820,13242
1400000U,17031802609,Census Tract 8026.09,Total population,56045,9992
1400000U,17031802610,Census Tract 8026.10,Total population,116148,14339
1400000U,17031802701,Census Tract 8027.01,Total population,109151,11546
1400000U,17031802702,Census Tract 8027.02,Total population,105966,10268
1400000U,17031802801,Census Tract 8028.01,Total population,120721,4511
1400000U,17031802802,Census Tract 8028.02,Total population,122095,24723
1400000U,17031802900,Census Tract 8029,Total population,146630,32205
1400000U,17031803005,Census Tract 8030.05,Total population,92202,24267
1400000U,17031803007,Census Tract 8030.07,Total population,93659,15521
1400000U,17031803008,Census Tract 8030.08,Total population,137961,17832
1400000U,17031803010,Census Tract 8030.10,Total population,119712,13902
1400000U,17031803012,Census Tract 8030.12,Total population,76089,10523
1400000U,17031803013,Census Tract 8030.13,Total population,93938,22017
1400000U,17031803014,Census Tract 8030.14,Total population,71106,7451
1400000U,17031803015,Census Tract 8030.15,Total population,98793,13201
1400000U,17031803016,Census Tract 8030.16,Total population,113819,15576
1400000U,17031803017,Census Tract 8030.17,Total population,93693,11781
1400000U,17031803100,Census Tract 8031,Total population,132539,21990
1400000U,17031803200,Census Tract 8032,Total population,96330,25210
1400000U,17031803300,Census Tract 8033,Total population,113558,13144
1400000U,17031803400,Census Tract 8034,Total population,128063,14448
1400000U,17031803500,Census Tract 8035,Total population,130933,13045
1400000U,17031803603,Census Tract 8036.03,Total population,179123,17370
1400000U,17031803604,Census Tract 8036.04,Total population,82822,7569
1400000U,17031803605,Census Tract 8036.05,Total population,84722,26408
1400000U,17031803607,Census Tract 8036.07,Total population,108373,3349
1400000U,17031803608,Census Tract 8036.08,Total population,87167,23639
1400000U,17031803611,Census Tract 8036.11,Total population,68319,15779
1400000U,17031803612,Census Tract 8036.12,Total population,62917,6333
1400000U,17031803613,Census Tract 8036.13,Total population,63714,11359
1400000U,17031803614,Census Tract 8036.14,Total population,45288,9948
1400000U,17031803615,Census Tract 8036.15,Total population,73917,19369
1400000U,17031803616,Census Tract 8036.16,Total population,83535,25201
1400000U,17031803701,Census Tract 8037.01,Total population,85326,15474
1400000U,17031803702,Census Tract 8037.02,Total population,124023,24917
1400000U,17031803800,Census Tract 8038,Total population,108500,23658
1400000U,17031803901,Census Tract 8039.01,Total population,78608,15913
1400000U,17031803902,Census Tract 8039.02,Total population,96417,12359
1400000U,17031804000,Census Tract 8040,Total population,81804,6656
1400000U,17031804102,Census Tract 8041.02,Total population,145938,25191
1400000U,17031804104,Census Tract 8041.04,Total population,139583,12130
1400000U,17031804105,Census Tract 8041.05,Total population,142866,14324
1400000U,17031804106,Census Tract 8041.06,Total population,130191,7109
1400000U,17031804108,Census Tract 8041.08,Total population,86420,19411
1400000U,17031804109,Census Tract 8041.09,Total population,148393,32656
1400000U,17031804202,Census Tract 8042.02,Total population,159276,12529
1400000U,17031804203,Census Tract 8042.03,Total population,187768,86516
1400000U,17031804204,Census Tract 8042.04,Total population,133542,38148
1400000U,17031804305,Census Tract 8043.05,Total population,72250,21892
1400000U,17031804306,Census Tract 8043.06,Total population,76708,14549
1400000U,17031804308,Census Tract 8043.08,Total population,74762,13491
1400000U,17031804309,Census Tract 8043.09,Total population,78041,14122
1400000U,17031804312,Census Tract 8043.12,Total population,142813,25212
1400000U,17031804313,Census Tract 8043.13,Total population,112750,18013
1400000U,17031804314,Census Tract 8043.14,Total population,103487,34002
1400000U,17031804315,Census Tract 8043.15,Total population,101754,13353
1400000U,17031804316,Census Tract 8043.16,Total population,102745,11981
1400000U,17031804403,Census Tract 8044.03,Total population,81389,16169
1400000U,17031804404,Census Tract 8044.04,Total population,85484,14129
1400000U,17031804405,Census Tract 8044.05,Total population,70551,4652
1400000U,17031804406,Census Tract 8044.06,Total population,80318,8166
1400000U,17031804505,Census Tract 8045.05,Total population,71285,8391
1400000U,17031804506,Census Tract 8045.06,Total population,119025,12999
1400000U,17031804508,Census Tract 8045.08,Total population,61900,17796
1400000U,17031804509,Census Tract 8045.09,Total population,86053,12023
1400000U,17031804510,Census Tract 8045.10,Total population,72132,12595
1400000U,17031804511,Census Tract 8045.11,Total population,59904,10065
1400000U,17031804512,Census Tract 8045.12,Total population,145487,14253
1400000U,17031804513,Census Tract 8045.13,Total population,115067,30928
1400000U,17031804514,Census Tract 8045.14,Total population,95947,29912
1400000U,17031804603,Census Tract 8046.03,Total population,77807,15591
1400000U,17031804606,Census Tract 8046.06,Total population,120870,17407
1400000U,17031804607,Census Tract 8046.07,Total population,115994,25174
1400000U,17031804608,Census Tract 8046.08,Total population,113462,28283
1400000U,17031804609,Census Tract 8046.09,Total population,97489,20355
1400000U,17031804610,Census Tract 8046.10,Total population,73125,10918
1400000U,17031804611,Census Tract 8046.11,Total population,78889,9648
1400000U,17031804701,Census Tract 8047.01,Total population,73214,9550
1400000U,17031804705,Census Tract 8047.05,Total population,70759,8045
1400000U,17031804706,Census Tract 8047.06,Total population,118333,19223
1400000U,17031804709,Census Tract 8047.09,Total population,82609,15259
1400000U,17031804710,Census Tract 8047.10,Total population,95705,17722
1400000U,17031804711,Census Tract 8047.11,Total population,73887,9449
1400000U,17031804712,Census Tract 8047.12,Total population,90653,11785
1400000U,17031804713,Census Tract 8047.13,Total population,86951,14465
1400000U,17031804714,Census Tract 8047.14,Total population,90417,13763
1400000U,17031804715,Census Tract 8047.15,Total population,53971,11895
1400000U,17031804716,Census Tract 8047.16,Total population,99500,9181
1400000U,17031804803,Census Tract 8048.03,Total population,81023,6180
1400000U,17031804804,Census Tract 8048.04,Total population,71789,16682
1400000U,17031804805,Census Tract 8048.05,Total population,100742,13681
1400000U,17031804806,Census Tract 8048.06,Total population,81612,12557
1400000U,17031804807,Census Tract 8048.07,Total population,93201,10516
1400000U,17031804808,Census Tract 8048.08,Total population,122604,18217
1400000U,17031804809,Census Tract 8048.09,Total population,100104,22391
1400000U,17031804810,Census Tract 8048.10,Total population,73560,18901
1400000U,17031804901,Census Tract 8049.01,Total population,124375,7670
1400000U,17031804902,Census Tract 8049.02,Total population,113148,9528
1400000U,17031805001,Census Tract 8050.01,Total population,124547,13559
1400000U,17031805002,Census Tract 8050.02,Total population,65301,14443
1400000U,17031805105,Census Tract 8051.05,Total population,66642,9346
1400000U,17031805106,Census Tract 8051.06,Total population,71948,8669
1400000U,17031805107,Census Tract 8051.07,Total population,64545,17786
1400000U,17031805108,Census Tract 8051.08,Total population,67724,6381
1400000U,17031805109,Census Tract 8051.09,Total population,90000,25510
1400000U,17031805110,Census Tract 8051.10,Total population,91688,4662
1400000U,17031805111,Census Tract 8051.11,Total population,65641,14409
1400000U,17031805112,Census Tract 8051.12,Total population,63906,14523
1400000U,17031805201,Census Tract 8052.01,Total population,100200,17450
1400000U,17031805202,Census Tract 8052.02,Total population,85000,18114
1400000U,17031805301,Census Tract 8053.01,Total population,82974,27783
1400000U,17031805302,Census Tract 8053.02,Total population,95611,22454
1400000U,17031805401,Census Tract 8054.01,Total population,84805,22170
1400000U,17031805402,Census Tract 8054.02,Total population,92063,12090
1400000U,17031805501,Census Tract 8055.01,Total population,114088,21368
1400000U,17031805502,Census Tract 8055.02,Total population,134750,17549
1400000U,17031805600,Census Tract 8056,Total population,155347,19290
1400000U,17031805701,Census Tract 8057.01,Total population,144767,21741
1400000U,17031805702,Census Tract 8057.02,Total population,141875,27486
1400000U,17031805801,Census Tract 8058.01,Total population,110233,17632
1400000U,17031805802,Census Tract 8058.02,Total population,117984,24806
1400000U,17031805901,Census Tract 8059.01,Total population,79547,13887
1400000U,17031805902,Census Tract 8059.02,Total population,117900,22470
1400000U,17031806001,Census Tract 8060.01,Total population,49842,13821
1400000U,17031806002,Census Tract 8060.02,Total population,60280,12612
1400000U,17031806004,Census Tract 8060.04,Total population,58369,11799
1400000U,17031806005,Census Tract 8060.05,Total population,93018,29253
1400000U,17031806006,Census Tract 8060.06,Total population,64206,9481
1400000U,17031806102,Census Tract 8061.02,Total population,92431,14215
1400000U,17031806103,Census Tract 8061.03,Total population,92182,17038
1400000U,17031806104,Census Tract 8061.04,Total population,41354,15138
1400000U,17031806201,Census Tract 8062.01,Total population,61621,4370
1400000U,17031806202,Census Tract 8062.02,Total population,68376,5043
1400000U,17031806300,Census Tract 8063,Total population,103171,19266
1400000U,17031806400,Census Tract 8064,Total population,108529,9589
1400000U,17031806501,Census Tract 8065.01,Total population,52279,21252
1400000U,17031806502,Census Tract 8065.02,Total population,68500,9378
1400000U,17031806600,Census Tract 8066,Total population,86739,13102
1400000U,17031806700,Census Tract 8067,Total population,106528,34044
1400000U,17031806801,Census Tract 8068.01,Total population,72861,8501
1400000U,17031806802,Census Tract 8068.02,Total population,85813,32961
1400000U,17031806900,Census Tract 8069,Total population,71406,18456
1400000U,17031807000,Census Tract 8070,Total population,52986,23909
1400000U,17031807100,Census Tract 8071,Total population,129766,23417
1400000U,17031807200,Census Tract 8072,Total population,93958,22185
1400000U,17031807300,Census Tract 8073,Total population,68932,6566
1400000U,17031807400,Census Tract 8074,Total population,79441,12344
1400000U,17031807500,Census Tract 8075,Total population,121144,8838
1400000U,17031807600,Census Tract 8076,Total population,86272,22996
1400000U,17031807700,Census Tract 8077,Total population,64569,35392
1400000U,17031807800,Census Tract 8078,Total population,126927,26966
1400000U,17031807900,Census Tract 8079,Total population,109808,27841
1400000U,17031808001,Census Tract 8080.01,Total population,101076,19330
1400000U,17031808002,Census Tract 8080.02,Total population,80730,9208
1400000U,17031808100,Census Tract 8081,Total population,49946,17169
1400000U,17031808200,Census Tract 8082,Total population,85111,7216
1400000U,17031808301,Census Tract 8083.01,Total population,61034,25106
1400000U,17031808302,Census Tract 8083.02,Total population,70521,18502
1400000U,17031808400,Census Tract 8084,Total population,107700,20208
1400000U,17031808500,Census Tract 8085,Total population,112361,9056
1400000U,17031808600,Census Tract 8086,Total population,152833,19309
1400000U,17031808702,Census Tract 8087.02,Total population,63333,28849
1400000U,17031808800,Census Tract 8088,Total population,142750,24471
1400000U,17031808900,Census Tract 8089,Total population,170089,32652
1400000U,17031809000,Census Tract 8090,Total population,179609,18391
1400000U,17031809100,Census Tract 8091,Total population,117500,26919
1400000U,17031809200,Census Tract 8092,Total population,45709,10959
1400000U,17031809300,Census Tract 8093,Total population,38385,9141
1400000U,17031809401,Census Tract 8094.01,Total population,84844,52928
1400000U,17031809402,Census Tract 8094.02,Total population,64318,23951
1400000U,17031809500,Census Tract 8095,Total population,65594,18503
1400000U,17031809600,Census Tract 8096,Total population,52031,49925
1400000U,17031809700,Census Tract 8097,Total population,127330,15580
1400000U,17031809800,Census Tract 8098,Total population,87685,58272
1400000U,17031809900,Census Tract 8099,Total population,112266,18048
1400000U,17031810000,Census Tract 8100,Total population,110091,19657
1400000U,17031810100,Census Tract 8101,Total population,88095,13707
1400000U,17031810200,Census Tract 8102,Total population,68398,10714
1400000U,17031810301,Census Tract 8103.01,Total population,81717,8994
1400000U,17031810302,Census Tract 8103.02,Total population,97163,27842
1400000U,17031810400,Census Tract 8104,Total population,125000,28909
1400000U,17031810501,Census Tract 8105.01,Total population,77868,17678
1400000U,17031810502,Census Tract 8105.02,Total population,79432,21503
1400000U,17031810600,Census Tract 8106,Total population,64044,12330
1400000U,17031810701,Census Tract 8107.01,Total population,55222,16616
1400000U,17031810702,Census Tract 8107.02,Total population,66827,12523
1400000U,17031810800,Census Tract 8108,Total population,89352,6381
1400000U,17031810900,Census Tract 8109,Total population,47983,12857
1400000U,17031811000,Census Tract 8110,Total population,94612,12129
1400000U,17031811100,Census Tract 8111,Total population,60754,16312
1400000U,17031811200,Census Tract 8112,Total population,73008,10193
1400000U,17031811301,Census Tract 8113.01,Total population,64806,7919
1400000U,17031811302,Census Tract 8113.02,Total population,52865,12858
1400000U,17031811401,Census Tract 8114.01,Total population,77105,13723
1400000U,17031811402,Census Tract 8114.02,Total population,67317,10779
