,Segment,PermitIssueDate,PermitType
129,153,3/22/2018 0:00,Reno_Alt_add
130,55,4/10/2018 0:00,Reno_Alt_add
131,260/275,12/6/2018 0:00,Reno_Alt_add
132,157,7/30/2018 0:00,Reno_Alt_add
133,260/275,4/3/2018 0:00,Reno_Alt_add
134,324,4/17/2018 0:00,Reno_Alt_add
135,244,4/24/2018 0:00,Reno_Alt_add
136,324,5/1/2018 0:00,Reno_Alt_add
137,268,9/18/2018 0:00,Reno_Alt_add
138,292,3/26/2020 0:00,Reno_Alt_add
139,260/275,8/8/2018 0:00,Reno_Alt_add
140,324,9/19/2018 0:00,Reno_Alt_add
141,306,11/5/2018 0:00,Reno_Alt_add
142,153,11/8/2018 0:00,Reno_Alt_add
143,153,11/8/2018 0:00,Reno_Alt_add
144,153,12/14/2018 0:00,Reno_Alt_add
145,16,12/6/2018 0:00,Reno_Alt_add
146,324,1/14/2019 0:00,Reno_Alt_add
147,306,3/25/2019 0:00,Reno_Alt_add
148,281,9/18/2019 0:00,Reno_Alt_add
149,260/275,6/12/2019 0:00,Reno_Alt_add
150,57,2/26/2019 0:00,Reno_Alt_add
151,324,4/25/2019 0:00,Reno_Alt_add
152,324,4/9/2019 0:00,Reno_Alt_add
153,244,4/30/2019 0:00,Reno_Alt_add
154,292,5/28/2019 0:00,Reno_Alt_add
155,260/275,7/26/2019 0:00,Reno_Alt_add
156,16,11/4/2019 0:00,Reno_Alt_add
157,244,8/5/2019 0:00,Reno_Alt_add
158,260/275,8/14/2019 0:00,Reno_Alt_add
159,324,8/15/2019 0:00,Reno_Alt_add
160,292,11/22/2019 0:00,Reno_Alt_add
161,292,3/10/2020 0:00,Reno_Alt_add
162,292,9/11/2019 0:00,Reno_Alt_add
163,281,9/23/2019 0:00,Reno_Alt_add
164,281,11/26/2019 0:00,Reno_Alt_add
165,292,2/24/2020 0:00,Reno_Alt_add
166,157,10/22/2019 0:00,Reno_Alt_add
167,281,10/30/2019 0:00,Reno_Alt_add
168,292,11/21/2019 0:00,Reno_Alt_add
169,292,11/27/2019 0:00,Reno_Alt_add
170,292,2/13/2020 0:00,Reno_Alt_add
171,281,2/19/2020 0:00,Reno_Alt_add
172,268,5/13/2020 0:00,Reno_Alt_add
173,49,4/6/2020 0:00,Reno_Alt_add
174,260/275,4/29/2020 0:00,Reno_Alt_add
175,292,4/2/2020 0:00,Reno_Alt_add
176,281,6/23/2020 0:00,Reno_Alt_add
177,260/275,7/28/2020 0:00,Reno_Alt_add
