"","ModelType","DepVar","model","R2"
"1","beta","SimpDivSpp","betareg(formula =  SimpsonsDivSpp ~ Change_PWnHL + Change_MedHHI + Avg_Rmov + AllConst_since11 data = Seg_allData )",0.297068723720335
"2","beta","SimpDivGen","betareg(formula =  SimpsonsDivGen ~ Change_PWnHL + Change_MedHHI + Avg_Rmov + PercResTree + SVI data = Seg_allData )",0.252016961134118
"3","lin","AvgBA","AvgBA ~ PercResTree + Avg_Rmov",0.241979399731239
"4","pois","NumTrees","totNumTrees ~ Change_PWnHL + Change_MedHHI + Avg_Rmov",0.383644293123967
"5","beta","PercUrbanApp","betareg(formula =  PercUrbanApp ~ Change_PWnHL + PercResTree + Avg_Rmov + AllConst_since11 + Change_MedHHI data = Seg_allData )",0.542980403702441
"6","beta","PercDisc","betareg(formula =  PercDisc3o4 ~ AllConst_since11 + PercResTree + Change_MedHHI + Avg_Rmov data = Seg_allData )",0.230100463154499
"7","beta","PercDBK","betareg(formula =  PercDBK5 ~ AllConst_since11 + Change_MedHHI + Avg_Rmov + PercResTree data = Seg_allData )",0.397371537833413
"8","beta","PercCS","betareg(formula =  PercCS4o5 ~ AllConst_since11 + Avg_Rmov + PercResTree + Change_PWnHL data = Seg_allData )",0.363966050843378
"9","0","0","0",0
"10","0","0","0",0
"11","0","0","0",0
