"","mean.Estimate","mean.Std..Error","mean.z.value","mean.Pr...z..","precision.Estimate","precision.Std..Error","precision.z.value","precision.Pr...z.."
"(Intercept)",-2.09124616451292,0.0860200057202242,-24.3111604911373,1.49389700129862e-130,43.7706191319501,1.95937758878451,22.3390424502625,1.54315683937927e-110
"Change_Rmov",-13.0021071754112,0.339613389710045,-38.2850251767521,0,43.7706191319501,1.95937758878451,22.3390424502625,1.54315683937927e-110
"Change_PRent",-5.91447693359691,0.363494138855857,-16.2711755194003,1.58093344543343e-59,43.7706191319501,1.95937758878451,22.3390424502625,1.54315683937927e-110
"SVI",-0.319139879350139,0.114154206001151,-2.79569093885968,0.00517888996523036,43.7706191319501,1.95937758878451,22.3390424502625,1.54315683937927e-110
"PercCOMM_MxTree",-0.673513091779759,0.104053014062759,-6.47278791341434,9.62109550540391e-11,43.7706191319501,1.95937758878451,22.3390424502625,1.54315683937927e-110
"Change_MedHHI",1.23938036046117e-05,2.54689327013735e-06,4.86624380767369,1.13739194638942e-06,43.7706191319501,1.95937758878451,22.3390424502625,1.54315683937927e-110
"Change_PWnHL",-2.13111825398118,0.517688808625481,-4.11660097431799,3.84500916464292e-05,43.7706191319501,1.95937758878451,22.3390424502625,1.54315683937927e-110
