"","mean.Estimate","mean.Std..Error","mean.z.value","mean.Pr...z..","precision.Estimate","precision.Std..Error","precision.z.value","precision.Pr...z.."
"(Intercept)",-1.87627741149054,0.0184194229282997,-101.864071355233,0,81.2632640169852,3.61967539327012,22.4504286124866,1.26743798254223e-111
"Change_Rmov",-9.79397293577029,0.219353134483698,-44.6493411585973,0,81.2632640169852,3.61967539327012,22.4504286124866,1.26743798254223e-111
"Change_MedHHI",4.98811525155717e-05,2.37111359307883e-06,21.0370151228404,3.00721569947158e-98,81.2632640169852,3.61967539327012,22.4504286124866,1.26743798254223e-111
"PercCOMM_MxTree",-1.53763393919975,0.0805530754199322,-19.0884572833984,3.14933317294564e-81,81.2632640169852,3.61967539327012,22.4504286124866,1.26743798254223e-111
"Change_PRent",-4.51148588738098,0.261424694910171,-17.2573057374369,9.86056611839459e-67,81.2632640169852,3.61967539327012,22.4504286124866,1.26743798254223e-111
"Change_PWnHL",-7.75167579108906,0.369674363469616,-20.9689298395889,1.26067846217876e-97,81.2632640169852,3.61967539327012,22.4504286124866,1.26743798254223e-111
"NumConst_since15",-0.430141263332013,0.0287005410088466,-14.987217948241,8.90040020584963e-51,81.2632640169852,3.61967539327012,22.4504286124866,1.26743798254223e-111
