"","mean.Estimate","mean.Std..Error","mean.z.value","mean.Pr...z..","precision.Estimate","precision.Std..Error","precision.z.value","precision.Pr...z.."
"(Intercept)",-3.18477256756677,0.146736919080431,-21.70396235334,1.88223678256223e-104,20.1110190940452,0.900674885430583,22.3288329888656,1.93925329957651e-110
"AllConst_since11",-0.0265547600967872,0.00144892384993676,-18.3272296179997,5.01821667722085e-75,20.1110190940452,0.900674885430583,22.3288329888656,1.93925329957651e-110
"Avg_Rmov",2.10456301064283,0.202404377761148,10.397813693172,2.53686959376206e-25,20.1110190940452,0.900674885430583,22.3288329888656,1.93925329957651e-110
"PercResTree",1.07911878515979,0.102755657356734,10.501794382118,8.4753504523965e-26,20.1110190940452,0.900674885430583,22.3288329888656,1.93925329957651e-110
"Change_PWnHL",1.3628962949179,0.430223401144165,3.16788043442853,0.00153554658381012,20.1110190940452,0.900674885430583,22.3288329888656,1.93925329957651e-110
