"","ModelType","DepVar","model","R2"
"1","beta","SimpDivSpp","betareg(formula =  SimpsonsDivSpp ~ Change_PWnHL + Change_MedHHI + Change_PRent + Change_Rmov + AllConst_since11 data = Seg_allData )",0.289967175743015
"2","beta","SimpDivGen","betareg(formula =  SimpsonsDivGen ~ Change_PWnHL + Change_MedHHI + Change_Rmov + AllConst_since11 + PercCOMM_MxTree + Change_PRent data = Seg_allData )",0.269513992815541
"3","lin","AvgBA","AvgBA ~ PercCOMM_MxTree + Change_PWnHL + Change_MedHHI + Change_Rmov",0.206701639513014
"4","pois","NumTrees","totNumTrees ~ PercComm_z + Change_PWnHL + Change_Rmov",0.372408482142728
"5","beta","PercUrbanApp","betareg(formula =  PercUrbanApp ~ Change_PWnHL + PercCOMM_MxTree + Change_PRent + Change_Rmov + Change_MedHHI + AllConst_since11 data = Seg_allData )",0.495677817622041
"6","beta","PercDisc","betareg(formula =  PercDisc3o4 ~ Change_Rmov + SVI + Change_PRent + PercCOMM_MxTree + Change_PWnHL + Change_MedHHI data = Seg_allData )",0.745010801685357
"7","beta","PercDBK","betareg(formula =  PercDBK5 ~ AllConst_since11 + Change_MedHHI + Change_Rmov + Change_PWnHL + Change_PRent data = Seg_allData )",0.422532514738156
"8","beta","PercCS","betareg(formula =  PercCS4o5 ~ Change_Rmov + Change_PRent + SVI + PercCOMM_MxTree + Change_MedHHI + Change_PWnHL data = Seg_allData )",0.718937750409845
"9","0","0","0",0
"10","0","0","0",0
"11","0","0","0",0
