"","mean.Estimate","mean.Std..Error","mean.z.value","mean.Pr...z..","precision.Estimate","precision.Std..Error","precision.z.value","precision.Pr...z.."
"(Intercept)",0.0525340439785474,0.0875451995948691,0.600079093104568,0.548453525214196,18.7969886537105,0.818339917953588,22.9696587461062,9.37449264802424e-117
"Change_PWnHL",7.13184529152197,0.439627269959948,16.2224815857572,3.4977233961177e-59,18.7969886537105,0.818339917953588,22.9696587461062,9.37449264802424e-117
"PercCOMM_MxTree",1.37134151826326,0.11296382371609,12.1396520864045,6.51022578050417e-34,18.7969886537105,0.818339917953588,22.9696587461062,9.37449264802424e-117
"Avg_Rmov",-2.06880280435813,0.213692607434825,-9.68120904692084,3.6240450806146e-22,18.7969886537105,0.818339917953588,22.9696587461062,9.37449264802424e-117
"AllConst_since11",0.0202726024130764,0.00152452122882347,13.2976845646954,2.38747818835393e-40,18.7969886537105,0.818339917953588,22.9696587461062,9.37449264802424e-117
"Change_MedHHI",-1.64051179996082e-05,2.58699959590497e-06,-6.34136859765123,2.27732949085327e-10,18.7969886537105,0.818339917953588,22.9696587461062,9.37449264802424e-117
