"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.0235457496268066,0.0290866323351478,0.809504151443282,0.435386389710626
"NumBuild",0.000597930147471199,0.000171850336237199,3.47936559545568,0.00515420403645542
