"","mean.Estimate","mean.Std..Error","mean.z.value","mean.Pr...z..","precision.Estimate","precision.Std..Error","precision.z.value","precision.Pr...z.."
"(Intercept)",-0.353406256666538,0.0235501547062671,-15.0065365206493,6.65322047450966e-51,17.9537963019323,0.780715893372602,22.9965810281817,5.04333422656109e-117
"Change_PWnHL",9.67464717108451,0.446160376642521,21.6842366054307,2.89012175031695e-104,17.9537963019323,0.780715893372602,22.9965810281817,5.04333422656109e-117
"PercCOMM_MxTree",1.37503869535282,0.116206039452999,11.8327644744228,2.64291600751682e-32,17.9537963019323,0.780715893372602,22.9965810281817,5.04333422656109e-117
"Change_PRent",5.99086754138886,0.445563751604388,13.4455900414181,3.2678867514711e-41,17.9537963019323,0.780715893372602,22.9965810281817,5.04333422656109e-117
"Change_Rmov",4.25405737495146,0.336767535848642,12.6320292846262,1.40604787109025e-36,17.9537963019323,0.780715893372602,22.9965810281817,5.04333422656109e-117
"Change_MedHHI",-1.55887548262262e-05,1.67218635290434e-06,-9.32237893172068,1.13760504689057e-20,17.9537963019323,0.780715893372602,22.9965810281817,5.04333422656109e-117
