"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.148553548472555,0.0238393944723839,6.23143128256227,0.00043185504293247
"PercCOMM_MxTree",-0.159541970194966,0.0935934142729498,-1.70462816678199,0.132037409204528
"NumConst_since11",0.00650499962162005,0.00584036409002774,1.11380035924938,0.302142171316433
"Change_PWnHL",0.651319246117289,0.401272969825324,1.62313261817962,0.148590397928148
"Change_MedHHI",-4.65883419814229e-06,2.26147156719752e-06,-2.06008966273039,0.0783547239189572
"Change_Rmov",0.358169683013237,0.26653918447876,1.34377871573993,0.220943201347215
