"","mean.Estimate","mean.Std..Error","mean.z.value","mean.Pr...z..","precision.Estimate","precision.Std..Error","precision.z.value","precision.Pr...z.."
"(Intercept)",-3.1400213744773,0.0601680459436434,-52.1875245444801,0,67.7328728454615,3.030915072297,22.3473344616448,1.28170419246187e-110
"Change_Rmov",-18.2295981495723,0.501268081991657,-36.3669637155867,1.41745089957332e-289,67.7328728454615,3.030915072297,22.3473344616448,1.28170419246187e-110
"Change_PRent",-11.2585369996226,0.5343283483614,-21.0704467283996,1.48523613427362e-98,67.7328728454615,3.030915072297,22.3473344616448,1.28170419246187e-110
"PercCOMM_MxTree",-1.00701458876697,0.0880263220724742,-11.4399257524116,2.64111457328518e-30,67.7328728454615,3.030915072297,22.3473344616448,1.28170419246187e-110
"Change_MedHHI",4.2760626968945e-05,1.91075544625378e-06,22.3789114681219,6.31677495269174e-111,67.7328728454615,3.030915072297,22.3473344616448,1.28170419246187e-110
"NumConst_since11",-0.150481446903414,0.00694451676471474,-21.6691026894793,4.01503775763725e-104,67.7328728454615,3.030915072297,22.3473344616448,1.28170419246187e-110
"Change_PWnHL",-9.2653592738178,0.411313146854527,-22.5262901141712,2.29382733458686e-112,67.7328728454615,3.030915072297,22.3473344616448,1.28170419246187e-110
"NumReno_since11",0.0554927390112487,0.00321700200363859,17.2498304161712,1.12228283133375e-66,67.7328728454615,3.030915072297,22.3473344616448,1.28170419246187e-110
