"","mean.Estimate","mean.Std..Error","mean.z.value","mean.Pr...z..","precision.Estimate","precision.Std..Error","precision.z.value","precision.Pr...z.."
"(Intercept)",-1.41766027915035,0.0613055094132261,-23.1245167476661,2.62441348098183e-118,71.4236605406327,3.18010526957178,22.4595271181857,1.03281407131961e-111
"Change_Rmov",-10.5018587443984,0.246438827054835,-42.6144648954267,0,71.4236605406327,3.18010526957178,22.4595271181857,1.03281407131961e-111
"SVI",-0.758603497962122,0.083306818705838,-9.10613932625133,8.5365678075849e-20,71.4236605406327,3.18010526957178,22.4595271181857,1.03281407131961e-111
"Change_PRent",-5.9082301791889,0.277214268590151,-21.3128646271955,8.62533123603663e-101,71.4236605406327,3.18010526957178,22.4595271181857,1.03281407131961e-111
"PercCOMM_MxTree",-1.18337259543567,0.0797957339587912,-14.8300233198783,9.37004020839667e-50,71.4236605406327,3.18010526957178,22.4595271181857,1.03281407131961e-111
"Change_PWnHL",-1.42664430733748,0.393321230335927,-3.62717340764701,0.000286540864440658,71.4236605406327,3.18010526957178,22.4595271181857,1.03281407131961e-111
"Change_MedHHI",4.59491130198439e-06,1.86147961923522e-06,2.46841880754633,0.0135711435306288,71.4236605406327,3.18010526957178,22.4595271181857,1.03281407131961e-111
