"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",2.2007365901472,0.144304832938608,15.2506090428965,1.63104618883116e-52
"Change_PWnHL",-5.79157057682809,0.570728627090862,-10.147678427047,3.39339646064627e-24
"Change_MedHHI",2.73015438334249e-05,2.92221646372581e-06,9.34275204192627,9.38620804166991e-21
"Avg_Rmov",-1.52448408599778,0.19372847771834,-7.86917908999529,3.56975850574219e-15
"PercResTree",-0.268153244213529,0.0774925870340503,-3.46037284954369,0.000539427918119601
"SVI",0.198951936866571,0.107262822226444,1.85480796362566,0.063623654431146
