"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.14598581106868,0.180354285240797,-6.35408141003487,2.09675775353589e-10
"AllConst_since11",-0.045485319303602,0.00262285369356312,-17.3419201441658,2.27024584020215e-67
"Change_MedHHI",5.91789345491625e-05,4.04517210946901e-06,14.6295220444726,1.8206159991656e-48
"AvgBA",7.23265145692948,0.579151007083323,12.4883689546773,8.64068998000198e-36
"PercResTree",-1.16982629062116,0.117579619913219,-9.94922667282452,2.5415044504745e-23
"Avg_Rmov",-1.35938537795682,0.297802477474721,-4.56472152106999,5.00157820973299e-06
"Change_PWnHL",-2.72908977279403,0.640405732382223,-4.26150116214947,2.03058298030289e-05
