"","mean.Estimate","mean.Std..Error","mean.z.value","mean.Pr...z..","precision.Estimate","precision.Std..Error","precision.z.value","precision.Pr...z.."
"(Intercept)",-2.22840430691463,0.0862557012473316,-25.8348639532227,3.59988532335193e-147,20.6451090333272,0.924707921376086,22.3260864929161,2.06214726331667e-110
"AllConst_since11",-0.0291976446362965,0.00144679875363125,-20.1808610651721,1.44212132198969e-90,20.6451090333272,0.924707921376086,22.3260864929161,2.06214726331667e-110
"Avg_Rmov",2.40875068399706,0.206177349245957,11.6829064531408,1.55872971195879e-31,20.6451090333272,0.924707921376086,22.3260864929161,2.06214726331667e-110
"PercCOMM_MxTree",-1.52549043268041,0.137832960759244,-11.0676751357393,1.80010078128307e-28,20.6451090333272,0.924707921376086,22.3260864929161,2.06214726331667e-110
"Change_PWnHL",1.93154125193932,0.419938417971304,4.59958215128417,4.23339223861798e-06,20.6451090333272,0.924707921376086,22.3260864929161,2.06214726331667e-110
