"","mean.Estimate","mean.Std..Error","mean.z.value","mean.Pr...z..","precision.Estimate","precision.Std..Error","precision.z.value","precision.Pr...z.."
"(Intercept)",-2.42515938211562,0.0362056083155717,-66.9829757030371,0,23.4532860253404,1.08032312377266,21.7095103393119,1.66825415621386e-104
"NumConst_since11",-0.123794301032807,0.00704460664631442,-17.5729188651822,3.97200049003092e-69,23.4532860253404,1.08032312377266,21.7095103393119,1.66825415621386e-104
"Change_MedHHI",4.38084767095181e-05,2.1699584723462e-06,20.1886244680764,1.23248212912735e-90,23.4532860253404,1.08032312377266,21.7095103393119,1.66825415621386e-104
"Change_Rmov",-3.11751297051348,0.406169526271081,-7.6753984946493,1.64905193590223e-14,23.4532860253404,1.08032312377266,21.7095103393119,1.66825415621386e-104
