"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",2.75108721566522,0.0779616512562143,35.2876981353821,9.0682863971071e-273
"Change_PWnHL",-5.19795922251295,0.377123830504905,-13.7831629880131,3.21855530687089e-43
"Change_MedHHI",2.50263111605606e-05,2.20243874865672e-06,11.3629998454324,6.39116073793783e-30
"Avg_Rmov",-2.48957746810439,0.182664464446638,-13.6292380438981,2.68367622353936e-42
"PercCOMM_MxTree",0.396669993776293,0.0935575792516471,4.23984883906998,2.23670354599569e-05
"AllConst_since11",0.00422004717634576,0.00126515236137949,3.3356039202617,0.000851143352977695
