"","mean.Estimate","mean.Std..Error","mean.z.value","mean.Pr...z..","precision.Estimate","precision.Std..Error","precision.z.value","precision.Pr...z.."
"(Intercept)",-2.500719344518,0.115040539774641,-21.7377226273171,9.02678787131901e-105,25.84108451208,1.14737751254085,22.5218676761891,2.53458183240293e-112
"AllConst_since11",-0.0213813085614575,0.0013263049673733,-16.1209594229315,1.81765263987608e-58,25.84108451208,1.14737751254085,22.5218676761891,2.53458183240293e-112
"PercResTree",1.000287884177,0.0793501122579037,12.6060046509558,1.95663340306326e-36,25.84108451208,1.14737751254085,22.5218676761891,2.53458183240293e-112
"Change_MedHHI",1.69916126102187e-05,2.19768128416679e-06,7.73160909756791,1.06195610515183e-14,25.84108451208,1.14737751254085,22.5218676761891,2.53458183240293e-112
"Avg_Rmov",0.683763164222035,0.202781730896106,3.37191699272138,0.000746469425406043,25.84108451208,1.14737751254085,22.5218676761891,2.53458183240293e-112
