"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.348983754854619,0.109623769848341,-3.18346792248998,0.00145522236352596
"NumConst_since11",-0.155882945613391,0.0123568591284598,-12.6150944987604,1.74348389226736e-36
"NumReno_since11",0.0258660682434993,0.00372301118215592,6.94762034760283,3.71499118988868e-12
"Change_Rmov",4.82052170796591,0.988255015738283,4.87781152758907,1.07269347173197e-06
"Change_PRent",-10.7558233513928,0.995452849696506,-10.8049551062835,3.26116496488525e-27
"PercCOMM_MxTree",-4.17059907748235,0.441624725014158,-9.44376263658846,3.59628096573046e-21
"Change_MedHHI",-6.33158509442453e-05,6.79241263879543e-06,-9.32155543416363,1.14647067826991e-20
"Change_PWnHL",15.736897323711,2.19448484775285,7.17111231814863,7.43908381224926e-13
