"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.14548362757292,0.371710675633801,0.391389424919952,0.695509407858755
"AvgBA",-9.33084715917305,0.569347237588898,-16.3886755623647,2.30410236408257e-60
"Avg_Rmov",-1.05075272118744,0.527803718859098,-1.99080204182484,0.0465026548126753
"SVI",1.88008145883428,0.192847617800796,9.74905202498446,1.86198827384277e-22
"PercResTree",-1.73107419439195,0.203729541810317,-8.49692282724355,1.9468277585414e-17
"Change_PWnHL",-4.94571099795521,0.779915280240995,-6.34134389113004,2.2776947939071e-10
"Change_MedHHI",1.42297389151778e-05,3.27158925423503e-06,4.3494882179227,1.36455614623219e-05
