"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",28.7257709768656,0.0692549129938079,414.783150177865,1.40083809155319e-20
"PercCOMM_MxTree",1.1911880591357,0.173928908920392,6.84870655792429,7.48419391606462e-05
"NumConst_since15",0.0193520541364769,0.00531672810467033,3.63984272949328,0.00540220899187543
"Change_PRent",1.95707369296868,0.668088669897439,2.92936219569345,0.0167743988310449
