"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.106039141643232,0.0251176428690469,4.22169955182803,0.00290907494687322
"PercCOMM_MxTree",-0.35874757595886,0.132141514383803,-2.71487410774545,0.0264577497779219
"NumConst_since15",-0.00835709021357813,0.00340206953181465,-2.45647248988485,0.0395356388723518
"Change_PWnHL",1.59601258947716,0.67142779519552,2.37704277496048,0.0447517592702599
"Change_MedHHI",-3.54949967492664e-06,1.81681939907831e-06,-1.95368877981341,0.0864977395449306
"Change_Rmov",0.516558459185525,0.281136395787117,1.83739447089119,0.103457881232166
