"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-6.72822091395533,0.0942539647590217,-71.3839564325736,0
"NumReno_since15",0.188105329531413,0.00324534602615481,57.9615634251136,0
"Change_MedHHI",-6.13976957134553e-05,4.53122063895065e-06,-13.5499240945534,7.93121118658752e-42
"PercCOMM_MxTree",3.8308899940894,0.160913647143396,23.8071168113887,2.81848253839688e-125
"Change_Rmov",5.11571492798191,0.473877921402561,10.7954278875046,3.61773409533117e-27
"Change_PRent",-9.02002815294776,0.858647577338895,-10.5049247106741,8.19881949181872e-26
"Change_PWnHL",-10.2506409259333,1.18685699011046,-8.6367953437922,5.78118148118713e-18
