"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",3.51467844118222,0.128019344620522,27.4542761611576,6.17710695564368e-166
"PercRes_z",-0.62768592011209,0.127604684960636,-4.91898804738807,8.69927808719583e-07
"AvgBA",-3.64650254998839,0.544103712130263,-6.70185199750188,2.057944213103e-11
"AllConst_since11",0.0193454629614721,0.00222874880268255,8.67996561038535,3.95888507856017e-18
