"","mean.Estimate","mean.Std..Error","mean.z.value","mean.Pr...z..","precision.Estimate","precision.Std..Error","precision.z.value","precision.Pr...z.."
"(Intercept)",-0.805684531448193,0.417400166664138,-1.93024487241398,0.0535765040433494,19.1416765910991,1.24590947660124,15.3636174622544,2.87097876505634e-53
"PercResTree",-0.492808553383355,0.221397760992692,-2.22589673524125,0.0260210991067864,19.1416765910991,1.24590947660124,15.3636174622544,2.87097876505634e-53
"Change_PWnHL",13.9129786826814,0.923644359487724,15.0631339213698,2.83045251059997e-51,19.1416765910991,1.24590947660124,15.3636174622544,2.87097876505634e-53
"Change_MedHHI",-3.92759462174131e-05,3.74354005843121e-06,-10.4916591259537,9.43567578085649e-26,19.1416765910991,1.24590947660124,15.3636174622544,2.87097876505634e-53
"SVI",-1.01940526928268,0.217401733801595,-4.68903927975572,2.74490700521626e-06,19.1416765910991,1.24590947660124,15.3636174622544,2.87097876505634e-53
"Avg_Rmov",-1.2620617577667,0.595638766641985,-2.11883750428433,0.0341042020140396,19.1416765910991,1.24590947660124,15.3636174622544,2.87097876505634e-53
