"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.605288985293315,0.0975878330461638,-6.20250461967922,5.5571553026635e-10
"Avg_Rmov",2.56557778552176,0.21792564982236,11.7727205935284,5.39559061884226e-32
"NumConst_since11",0.0126223612902312,0.00398325868876397,3.16885301118818,0.00153041771996942
"NumReno_since11",0.00603782637773348,0.00114116980489162,5.29090968920871,1.21709458194332e-07
"PercCOMM_MxTree",-0.888543795936393,0.155191633730109,-5.7254619632502,1.03152656471144e-08
"Change_PWnHL",0.891770758636011,0.476399969876787,1.87189507771517,0.0612211207208845
