"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.39018404934339,0.259975066758531,-5.34737452586027,8.92392347103906e-08
"Avg_Rmov",2.99801754930822,0.341158488675673,8.78775598094036,1.52576932699939e-18
"NumReno_since11",0.0158040214676513,0.00165673755055889,9.53924262917799,1.43879203903108e-21
"NumConst_since11",0.0321751182796985,0.00384954605254945,8.35815907654614,6.3704508694256e-17
"Change_PWnHL",-3.71132127981303,0.615165622169485,-6.03304402272095,1.60899559321146e-09
"PercResTree",0.591184768031239,0.122254965992549,4.83567079039775,1.3269738254227e-06
"Change_MedHHI",5.3896826445124e-06,2.02874625747498e-06,2.65665685132084,0.00789197285210366
