"","mean.Estimate","mean.Std..Error","mean.z.value","mean.Pr...z..","precision.Estimate","precision.Std..Error","precision.z.value","precision.Pr...z.."
"(Intercept)",-2.33924784886277,0.0589801454831714,-39.6616154419324,0,28.8689995081428,1.86856476348356,15.4498254876232,7.56479879049019e-54
"PercCOMM_MxTree",0.0966651324483661,0.197622326617849,0.489140746912122,0.624742055522054,28.8689995081428,1.86856476348356,15.4498254876232,7.56479879049019e-54
"Change_PRent",-10.6684709606228,0.756827173748448,-14.0963106646707,4.00148996883737e-45,28.8689995081428,1.86856476348356,15.4498254876232,7.56479879049019e-54
"Change_MedHHI",-7.06857860769149e-05,3.83398530924332e-06,-18.4366345657348,6.67699700348472e-76,28.8689995081428,1.86856476348356,15.4498254876232,7.56479879049019e-54
"Change_PWnHL",13.5968266052732,1.02422027692453,13.2752952773997,3.21999318300161e-40,28.8689995081428,1.86856476348356,15.4498254876232,7.56479879049019e-54
"NumReno_since11",0.0148739061381838,0.00220272090737978,6.75251507730812,1.45303957385387e-11,28.8689995081428,1.86856476348356,15.4498254876232,7.56479879049019e-54
"NumConst_since11",-0.0227528591248912,0.00558880516879647,-4.07114909854532,4.67817929361848e-05,28.8689995081428,1.86856476348356,15.4498254876232,7.56479879049019e-54
"Change_Rmov",1.40798474848609,0.470685630404669,2.99134848726013,0.00277748329348439,28.8689995081428,1.86856476348356,15.4498254876232,7.56479879049019e-54
